Time_Period,Time_Label,MCS_1_SOE_kWh,MCS_1_Max_SOE_kWh,MCS_1_Min_SOE_kWh
1,08:00,250.0,250.0,50.0
2,08:15,250.0,250.0,50.0
3,08:30,250.0,250.0,50.0
4,08:45,250.0,250.0,50.0
5,09:00,250.0,250.0,50.0
6,09:15,249.0360110803324,250.0,50.0
7,09:30,249.0360110803324,250.0,50.0
8,09:45,249.0360110803324,250.0,50.0
9,10:00,249.0360110803324,250.0,50.0
10,10:15,249.0360110803324,250.0,50.0
11,10:30,246.93074792243766,250.0,50.0
12,10:45,246.93074792243766,250.0,50.0
13,11:00,246.93074792243766,250.0,50.0
14,11:15,246.93074792243766,250.0,50.0
15,11:30,246.93074792243766,250.0,50.0
16,11:45,244.82548476454292,250.0,50.0
17,12:00,242.72022160664818,250.0,50.0
18,12:15,240.61495844875344,250.0,50.0
19,12:30,238.5096952908587,250.0,50.0
20,12:45,238.5096952908587,250.0,50.0
21,13:00,238.9723477669242,250.0,50.0
22,13:15,239.4350002429897,250.0,50.0
23,13:30,239.8976527190552,250.0,50.0
24,13:45,240.3603051951207,250.0,50.0
25,14:00,240.8229576711862,250.0,50.0
26,14:15,241.2856101472517,250.0,50.0
27,14:30,241.7482626233172,250.0,50.0
28,14:45,242.2109150993827,250.0,50.0
29,15:00,242.6735675754482,250.0,50.0
30,15:15,243.1362200515137,250.0,50.0
31,15:30,243.59887252757932,250.0,50.0
32,15:45,244.06152500364482,250.0,50.0
33,16:00,244.52417747971032,250.0,50.0
34,16:15,244.52417747971035,250.0,50.0
35,16:30,242.4189143218156,250.0,50.0
36,16:45,242.4189143218156,250.0,50.0
37,17:00,242.4189143218156,250.0,50.0
38,17:15,240.31365116392087,250.0,50.0
39,17:30,238.20838800602613,250.0,50.0
40,17:45,236.1031248481314,250.0,50.0
41,18:00,233.99786169023665,250.0,50.0
42,18:15,231.8925985323419,250.0,50.0
43,18:30,229.78733537444717,250.0,50.0
44,18:45,229.64329105311754,250.0,50.0
45,19:00,229.64329105311754,250.0,50.0
46,19:15,229.64329105311754,250.0,50.0
47,19:30,229.64329105311754,250.0,50.0
48,19:45,229.64329105311754,250.0,50.0
49,20:00,229.64329105311754,250.0,50.0
50,20:15,229.64329105311754,250.0,50.0
51,20:30,229.64329105311754,250.0,50.0
52,20:45,229.64329105311754,250.0,50.0
53,21:00,229.64329105311754,250.0,50.0
54,21:15,230.10594352918304,250.0,50.0
55,21:30,230.56859600524854,250.0,50.0
56,21:45,231.03124848131404,250.0,50.0
57,22:00,231.49390095737954,250.0,50.0
58,22:15,231.95655343344504,250.0,50.0
59,22:30,232.41920590951054,250.0,50.0
60,22:45,232.88185838557604,250.0,50.0
61,23:00,233.34451086164154,250.0,50.0
62,23:15,233.80716333770704,250.0,50.0
63,23:30,234.26981581377254,250.0,50.0
64,23:45,234.73246828983804,250.0,50.0
65,00:00,235.19512076590354,250.0,50.0
66,00:15,235.65777324196904,250.0,50.0
67,00:30,236.12042571803454,250.0,50.0
68,00:45,236.58307819410004,250.0,50.0
69,01:00,237.04573067016554,250.0,50.0
70,01:15,237.50838314623104,250.0,50.0
71,01:30,237.97103562229654,250.0,50.0
72,01:45,238.43368809836204,250.0,50.0
73,02:00,238.89634057442754,250.0,50.0
74,02:15,239.35899305049304,250.0,50.0
75,02:30,239.82164552655854,250.0,50.0
76,02:45,240.28429800262404,250.0,50.0
77,03:00,240.74695047868954,250.0,50.0
78,03:15,241.20960295475504,250.0,50.0
79,03:30,241.67225543082054,250.0,50.0
80,03:45,242.13490790688604,250.0,50.0
81,04:00,242.59756038295154,250.0,50.0
82,04:15,243.06021285901704,250.0,50.0
83,04:30,243.52286533508254,250.0,50.0
84,04:45,243.98551781114804,250.0,50.0
85,05:00,244.44817028721354,250.0,50.0
86,05:15,244.91082276327904,250.0,50.0
87,05:30,245.37347523934454,250.0,50.0
88,05:45,245.83612771541004,250.0,50.0
89,06:00,246.29878019147554,250.0,50.0
90,06:15,246.76143266754104,250.0,50.0
91,06:30,247.22408514360654,250.0,50.0
92,06:45,247.68673761967204,250.0,50.0
93,07:00,248.14939009573754,250.0,50.0
94,07:15,248.61204257180304,250.0,50.0
95,07:30,249.07469504786897,250.0,50.0
96,07:45,249.53734752393447,250.0,50.0
97,08:00,250.0,250.0,50.0
