Time_Period,Time_Start_Label,Time_End_Label,Charging_Power_kW,Discharging_Power_kW,Net_Power_kW
1,08:00,08:15,0.0,0.0,0.0
2,08:15,08:30,0.0,0.0,0.0
3,08:30,08:45,0.0,0.0,0.0
4,08:45,09:00,-0.0,0.0,-0.0
5,09:00,09:15,-0.0,3.663157894736854,-3.663157894736854
6,09:15,09:30,-0.0,0.0,-0.0
7,09:30,09:45,-0.0,0.0,-0.0
8,09:45,10:00,-0.0,0.0,-0.0
9,10:00,10:15,-0.0,0.0,-0.0
10,10:15,10:30,-0.0,8.0,-8.0
11,10:30,10:45,-0.0,0.0,-0.0
12,10:45,11:00,-0.0,0.0,-0.0
13,11:00,11:15,-0.0,0.0,-0.0
14,11:15,11:30,-0.0,0.0,-0.0
15,11:30,11:45,-0.0,8.0,-8.0
16,11:45,12:00,-0.0,8.0,-8.0
17,12:00,12:15,-0.0,8.0,-8.0
18,12:15,12:30,-0.0,8.0,-8.0
19,12:30,12:45,-0.0,0.0,-0.0
20,12:45,13:00,1.9480104255389894,0.0,1.9480104255389894
21,13:00,13:15,1.9480104255389894,0.0,1.9480104255389894
22,13:15,13:30,1.9480104255389894,0.0,1.9480104255389894
23,13:30,13:45,1.9480104255389894,0.0,1.9480104255389894
24,13:45,14:00,1.9480104255389894,0.0,1.9480104255389894
25,14:00,14:15,1.9480104255389894,0.0,1.9480104255389894
26,14:15,14:30,1.9480104255389894,0.0,1.9480104255389894
27,14:30,14:45,1.9480104255389894,0.0,1.9480104255389894
28,14:45,15:00,1.9480104255389894,0.0,1.9480104255389894
29,15:00,15:15,1.9480104255389894,0.0,1.9480104255389894
30,15:15,15:30,1.9480104255389894,0.0,1.9480104255389894
31,15:30,15:45,1.9480104255389894,0.0,1.9480104255389894
32,15:45,16:00,1.9480104255389894,0.0,1.9480104255389894
33,16:00,16:15,-0.0,-6.217248937900877e-14,6.217248937900877e-14
34,16:15,16:30,-0.0,8.000000000000055,-8.000000000000055
35,16:30,16:45,-0.0,0.0,-0.0
36,16:45,17:00,-0.0,0.0,-0.0
37,17:00,17:15,-0.0,8.0,-8.0
38,17:15,17:30,-0.0,8.0,-8.0
39,17:30,17:45,-0.0,8.0,-8.0
40,17:45,18:00,-0.0,8.0,-8.0
41,18:00,18:15,-0.0,8.0,-8.0
42,18:15,18:30,-0.0,7.9999999999999964,-7.9999999999999964
43,18:30,18:45,-0.0,0.5473684210526176,-0.5473684210526176
44,18:45,19:00,-0.0,0.0,-0.0
