Time_Interval,Time_Period,Start_Time_Label,End_Time_Label,Time_Label,MCS_1_Charging_kW,MCS_1_Discharging_kW,MCS_1_Traveling_kW,MCS_1_NetPower_kW,MCS_1_SOE_Start_kWh,MCS_1_SOE_End_kWh,MCS_1_sum_x,MCS_1_sum_y_trv,MCS_1_sum_z,CEV_1_Charging_kW,CEV_1_Working_kW,CEV_1_NetPower_kW,CEV_1_SOE_Start_kWh,CEV_1_SOE_End_kWh
1,1,08:00,08:15,08:15,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,14.8,13.607500000000002
2,2,08:15,08:30,08:30,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,3.18,-3.18,13.607500000000002,12.812500000000002
3,3,08:30,08:45,08:45,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,12.812500000000002,11.620000000000001
4,4,08:45,09:00,09:00,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,11.620000000000001,10.427500000000002
5,5,09:00,09:15,09:15,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0.0,10.427500000000002,10.427500000000002
6,6,09:15,09:30,09:30,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.72,-4.72,10.427500000000002,9.247500000000002
7,7,09:30,09:45,09:45,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,3.18,-3.18,9.247500000000002,8.452500000000002
8,8,09:45,10:00,10:00,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,8.452500000000002,7.2600000000000025
9,9,10:00,10:15,10:15,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,3.18,-3.18,7.2600000000000025,6.4650000000000025
10,10,10:15,10:30,10:30,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0.0,6.4650000000000025,6.4650000000000025
11,11,10:30,10:45,10:45,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,6.4650000000000025,5.272500000000003
12,12,10:45,11:00,11:00,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.72,-4.72,5.272500000000003,4.092500000000003
13,13,11:00,11:15,11:15,0.0,0.0,0,0.0,250.0,250.0,1.0,1.0,0.0,0.0,3.18,-3.18,4.092500000000003,3.297500000000003
14,14,11:15,11:30,11:30,0.0,0.43157894736841484,0,-0.43157894736841484,250.0,249.8864265927978,0.0,0.0,1.0,0.43157894736841484,0.0,0.43157894736841484,3.297500000000003,3.4000000000000017
15,15,11:30,11:45,11:45,0.0,8.0,0,-8.0,249.8864265927978,247.78116343490308,0.0,0.0,1.0,8.0,0.0,8.0,3.4000000000000017,5.300000000000002
16,16,11:45,12:00,12:00,0.0,8.0,0,-8.0,247.78116343490308,245.67590027700834,0.0,0.0,1.0,8.0,0.0,8.0,5.300000000000002,7.200000000000001
17,17,12:00,12:15,12:15,0.0,8.0,0,-8.0,245.67590027700834,243.5706371191136,0.0,0.0,1.0,8.0,0.0,8.0,7.200000000000001,9.100000000000001
18,18,12:15,12:30,12:30,0.0,8.0,0,-8.0,243.5706371191136,241.46537396121886,0.0,0.0,1.0,8.0,0.0,8.0,9.100000000000001,11.000000000000002
19,19,12:30,12:45,12:45,0.0,8.0,0,-8.0,241.46537396121886,239.36011080332412,0.0,0.0,1.0,8.0,0.0,8.0,11.000000000000002,12.900000000000002
20,20,12:45,13:00,13:00,0.0,8.0,0,-8.0,239.36011080332412,237.25484764542938,0.0,0.0,1.0,8.0,0.0,8.0,12.900000000000002,14.8
21,21,13:00,13:15,13:15,0.0,0.0,0,0.0,237.25484764542938,237.25484764542938,0.0,0.0,1.0,0.0,0.0,0.0,14.8,14.8
