Time_Interval,Time_Period,Start_Time_Label,End_Time_Label,Time_Label,MCS_1_Charging_kW,MCS_1_Discharging_kW,MCS_1_Traveling_kW,MCS_1_NetPower_kW,MCS_1_SOE_Start_kWh,MCS_1_SOE_End_kWh,MCS_1_sum_x,MCS_1_sum_y_trv,MCS_1_sum_z,CEV_1_Charging_kW,CEV_1_Working_kW,CEV_1_NetPower_kW,CEV_1_SOE_Start_kWh,CEV_1_SOE_End_kWh
1,1,08:00,08:15,08:15,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.7700000000000005,-4.7700000000000005,14.8,13.6075
2,2,08:15,08:30,08:30,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,3.18,-3.18,13.6075,12.8125
3,3,08:30,08:45,08:45,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,12.8125,11.620000000000001
4,4,08:45,09:00,09:00,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,11.620000000000001,10.427500000000014
5,5,09:00,09:15,09:15,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0.0,10.427500000000014,10.427500000000014
6,6,09:15,09:30,09:30,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.72,-4.72,10.427500000000014,9.247500000000015
7,7,09:30,09:45,09:45,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,3.18,-3.18,9.247500000000015,8.452500000000015
8,8,09:45,10:00,10:00,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,8.452500000000015,7.260000000000014
9,9,10:00,10:15,10:15,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,3.18,-3.18,7.260000000000014,6.465000000000014
10,10,10:15,10:30,10:30,0.0,0.0,0,0.0,250.0,250.0,1.0,1.0,0.0,0.0,0.0,0.0,6.465000000000014,6.465000000000002
11,11,10:30,10:45,10:45,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,6.465000000000002,5.272500000000002
12,12,10:45,11:00,11:00,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.72,-4.72,5.272500000000002,4.092500000000002
13,13,11:00,11:15,11:15,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,3.18,-3.18,4.092500000000002,3.297500000000002
14,14,11:15,11:30,11:30,0.0,8.000000155656338,0,-8.000000155656338,250.0,247.89473680114307,0.0,0.0,1.0,8.000000155656338,0.0,8.000000155656338,3.297500000000002,5.197500036968382
15,15,11:30,11:45,11:45,0.0,8.0,0,-8.0,247.89473680114307,245.78947364324833,0.0,0.0,1.0,8.0,0.0,8.0,5.197500036968382,7.097500036968382
16,16,11:45,12:00,12:00,0.0,8.0,0,-8.0,245.78947364324833,243.6842104853536,0.0,0.0,1.0,8.0,0.0,8.0,7.097500036968382,8.997500036968383
17,17,12:00,12:15,12:15,0.0,8.0,0,-8.0,243.6842104853536,241.57894732745885,0.0,0.0,1.0,8.0,0.0,8.0,8.997500036968383,10.897500036968381
18,18,12:15,12:30,12:30,0.0,8.0,0,-8.0,241.57894732745885,239.4736841695641,0.0,0.0,1.0,8.0,0.0,8.0,10.897500036968381,12.797500036968382
19,19,12:30,12:45,12:45,0.0,0.43115789473684174,0,-0.43115789473684174,239.4736841695641,239.360221565686,0.0,0.0,1.0,0.43115789473684174,0.0,0.43115789473684174,12.797500036968382,12.899900036968381
20,20,12:45,13:00,13:00,0.0,8.0,0,-8.0,239.360221565686,237.25495840779124,0.0,0.0,1.0,8.0,0.0,8.0,12.899900036968381,14.799900036968381
21,21,13:00,13:15,13:15,0.0,0.0,0,0.0,237.25495840779124,237.25495840779124,1.0,1.0,0.0,0.0,0.0,0.0,14.799900036968381,14.799900036968381
22,22,13:15,13:30,13:30,31.25,0.0,0,31.25,237.25495840779124,244.67683340779124,0.0,0.0,1.0,0.0,0.0,0.0,14.799900036968381,14.799900036968381
23,23,13:30,13:45,13:45,13.577598775331904,0.0,0,13.577598775331904,244.67683340779124,247.90151311693256,0.0,0.0,1.0,0.0,0.0,0.0,14.799900036968381,14.799900036968381
24,24,13:45,14:00,14:00,0.0,0.0,0,0.0,247.90151311693256,247.90151311693256,0.0,0.0,1.0,0.0,0.0,0.0,14.799900036968381,14.799900036968381
25,25,14:00,14:15,14:15,0.0,0.0,0,0.0,247.90151311693256,247.90151311693256,0.0,0.0,1.0,0.0,4.77,-4.77,14.799900036968381,13.607400036968382
26,26,14:15,14:30,14:30,0.0,0.0,0,0.0,247.90151311693256,247.90151311693256,0.0,0.0,1.0,0.0,4.77,-4.77,13.607400036968382,12.41490003696838
27,27,14:30,14:45,14:45,0.0,0.0,0,0.0,247.90151311693256,247.90151311693256,0.0,0.0,1.0,0.0,4.77,-4.77,12.41490003696838,11.22240003696838
28,28,14:45,15:00,15:00,0.0,0.0,0,0.0,247.90151311693256,247.90151311693256,0.0,0.0,1.0,0.0,4.72,-4.72,11.22240003696838,10.042400036968383
29,29,15:00,15:15,15:15,0.0,0.0,0,0.0,247.90151311693256,247.90151311693256,0.0,0.0,1.0,0.0,0.0,0.0,10.042400036968383,10.042400036968383
30,30,15:15,15:30,15:30,0.0,0.0,0,0.0,247.90151311693256,247.90151311693256,0.0,0.0,1.0,0.0,4.77,-4.77,10.042400036968383,8.849900036968382
31,31,15:30,15:45,15:45,0.0,0.0,0,0.0,247.90151311693256,247.90151311693256,0.0,0.0,1.0,0.0,4.77,-4.77,8.849900036968382,7.657400036968382
32,32,15:45,16:00,16:00,0.0,0.0,0,0.0,247.90151311693256,247.90151311693256,1.0,1.0,0.0,0.0,3.18,-3.18,7.657400036968382,6.862400036968382
33,33,16:00,16:15,16:15,0.0,0.0,0,0.0,247.90151311693256,247.90151311693256,0.0,0.0,1.0,0.0,4.77,-4.77,6.862400036968382,5.669900036968382
