Metric,Reference,B1,B2,OPTIMAL
Objective_Value,1804.83,567.98,565.52,68.49
Total_Energy_Cost_USD,12.72,8.54,8.61,8.96
Total_CO2_Cost_USD,0.23,0.36,0.32,0.33
NC demand charge_USD,628.75,49.08,36.6,39.19
OP demand charge_USD,643.12,0.0,0.0,0.0
Total_Missed_Work_Penalty_USD,500.0,500.0,500.0,0.0
Total_Travel_Penalty_USD,20.0,10.0,20.0,20.0
NCD_Peak_kW,31.25,2.44,1.82,1.95
OPD_Peak_kW,31.25,0.0,0.0,0.0
Total_Missed_Work_hour,0.25,0.25,0.25,0.0
MIP_Gap_percent,23.89,0.0,0.0,0.0
Status,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
Solve_Time_s,3600.54,0.28,6.37,27.83
