Unnamed: 0,Unnamed: 1,lambda_CO2,lambda_buy,intensity_tons_emissions
8:15:00,t1,0.007394658,0.387,0.184844771
8:30:00,t2,0.005977763,0.387,0.18748346
8:45:00,t3,0.005135154,0.387,0.187221003
9:00:00,t4,0.004820522,0.387,0.174390042
9:15:00,t5,0.00461899,0.387,0.169646374
9:30:00,t6,0.004343784,0.387,0.179379949
9:45:00,t7,0.004333777,0.387,0.173308146
10:00:00,t8,0.004269347,0.387,0.169005444
10:15:00,t9,0.004150711,0.261,0.166717776
10:30:00,t10,0.004073101,0.261,0.171203448
10:45:00,t11,0.004246335,0.261,0.169740242
11:00:00,t12,0.004219507,0.261,0.157205795
11:15:00,t13,0.004255255,0.261,0.156127377
11:30:00,t14,0.00468662,0.261,0.158874986
11:45:00,t15,0.004570593,0.261,0.155246426
12:00:00,t16,0.004383672,0.261,0.147787556
12:15:00,t17,0.004330162,0.261,0.142853662
12:30:00,t18,0.004304724,0.261,0.150148781
12:45:00,t19,0.004157662,0.261,0.142166138
13:00:00,t20,0.004267393,0.261,0.134292064
13:15:00,t21,0.004499368,0.261,0.126533506
13:30:00,t22,0.004955286,0.261,0.136996378
13:45:00,t23,0.004863444,0.261,0.130425591
14:00:00,t24,0.005515917,0.261,0.124229477
14:15:00,t25,0.00589872,0.387,0.120622693
14:30:00,t26,0.006442694,0.387,0.126193867
14:45:00,t27,0.006344401,0.387,0.126695016
15:00:00,t28,0.0065414,0.387,0.123729362
15:15:00,t29,0.00662778,0.387,0.125497949
15:30:00,t30,0.007055432,0.387,0.132440012
15:45:00,t31,0.00880503,0.387,0.128745287
16:00:00,t32,0.011057117,0.387,0.12752758
16:15:00,t33,0.012548906,0.627,0.130457634
16:30:00,t34,0.01482016,0.627,0.129548016
16:45:00,t35,0.015973937,0.627,0.132261205
17:00:00,t36,0.016665096,0.627,0.134973404
17:15:00,t37,0.016855741,0.627,0.14154539
17:30:00,t38,0.016755574,0.627,0.160302751
17:45:00,t39,0.01670452,0.627,0.166092752
18:00:00,t40,0.016830393,0.627,0.162902898
18:15:00,t41,0.016598815,0.627,0.164653432
18:30:00,t42,0.017052885,0.627,0.161500774
18:45:00,t43,0.01691081,0.627,0.16070126
19:00:00,t44,0.016916872,0.627,0.166316509
19:15:00,t45,0.016982767,0.627,0.170954975
19:30:00,t46,0.016588852,0.627,0.182877191
19:45:00,t47,0.016641952,0.627,0.191482601
20:00:00,t48,0.016629949,0.627,0.20251508
20:15:00,t49,0.016468532,0.387,0.210075598
20:30:00,t50,0.016572932,0.387,0.205244566
20:45:00,t51,0.016648511,0.387,0.205935973
21:00:00,t52,0.016832377,0.387,0.208513631
21:15:00,t53,0.01696081,0.387,0.218080938
21:30:00,t54,0.0168096,0.387,0.21907319
21:45:00,t55,0.016864937,0.387,0.223669117
22:00:00,t56,0.016936513,0.387,0.237339
22:15:00,t57,0.016955851,0.387,0.24652626
22:30:00,t58,0.016889676,0.387,0.266755136
22:45:00,t59,0.016779122,0.387,0.281316832
23:00:00,t60,0.016810249,0.387,0.288058009
23:15:00,t61,0.016902593,0.387,0.293576081
23:30:00,t62,0.017003279,0.387,0.287515883
23:45:00,t63,0.016993042,0.387,0.292663909
 24:00,t64,0.016864186,0.387,0.304429741
0:15:00,t65,0.015666586,0.261,0.312407382
0:30:00,t66,0.015433629,0.261,0.27458893
0:45:00,t67,0.015386958,0.261,0.276681872
1:00:00,t68,0.015453714,0.261,0.276716347
1:15:00,t69,0.015510254,0.261,0.274507571
1:30:00,t70,0.015636221,0.261,0.278281819
1:45:00,t71,0.01568865,0.261,0.281500364
2:00:00,t72,0.015601932,0.261,0.281866624
2:15:00,t73,0.015566986,0.261,0.280588542
2:30:00,t74,0.015656796,0.261,0.281072036
2:45:00,t75,0.015663876,0.261,0.284023345
3:00:00,t76,0.015910609,0.261,0.282971365
3:15:00,t77,0.015922068,0.261,0.284195843
3:30:00,t78,0.01582734,0.261,0.288293331
3:45:00,t79,0.016023835,0.261,0.29093524
4:00:00,t80,0.016010668,0.261,0.292181712
4:15:00,t81,0.016091165,0.261,0.290687728
4:30:00,t82,0.015893679,0.261,0.280336211
4:45:00,t83,0.016130648,0.261,0.27995689
5:00:00,t84,0.01599806,0.261,0.279516539
5:15:00,t85,0.01617178,0.261,0.282027184
5:30:00,t86,0.01636876,0.261,0.277843602
5:45:00,t87,0.016461472,0.261,0.280894886
6:00:00,t88,0.016449497,0.261,0.283205714
6:15:00,t89,0.016209073,0.387,0.284037684
6:30:00,t90,0.016485158,0.387,0.275596562
6:45:00,t91,0.015857185,0.387,0.271416987
7:00:00,t92,0.014843558,0.387,0.264663433
7:15:00,t93,0.013432546,0.387,0.255885549
7:30:00,t94,0.011509766,0.387,0.232169857
7:45:00,t95,0.009889149,0.387,0.217048995
8:00:00,t96,0.008724752,0.387,0.2000768
