Time_Interval,Time_Period,Start_Time_Label,End_Time_Label,Time_Label,MCS_1_Charging_kW,MCS_1_Discharging_kW,MCS_1_Traveling_kW,MCS_1_NetPower_kW,MCS_1_SOE_Start_kWh,MCS_1_SOE_End_kWh,MCS_1_sum_x,MCS_1_sum_y_trv,MCS_1_sum_z,CEV_1_Charging_kW,CEV_1_Working_kW,CEV_1_NetPower_kW,CEV_1_SOE_Start_kWh,CEV_1_SOE_End_kWh,CEV_2_Charging_kW,CEV_2_Working_kW,CEV_2_NetPower_kW,CEV_2_SOE_Start_kWh,CEV_2_SOE_End_kWh
1,1,08:00,08:15,08:15,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,14.8,13.607500000000002,0.0,3.18,-3.18,14.8,14.005
2,2,08:15,08:30,08:30,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,13.607500000000002,12.415000000000003,0.0,4.77,-4.77,14.005,12.8125
3,3,08:30,08:45,08:45,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,12.415000000000003,11.222500000000004,0.0,4.77,-4.77,12.8125,11.620000000000001
4,4,08:45,09:00,09:00,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,11.222500000000004,10.030000000000005,0.0,4.77,-4.77,11.620000000000001,10.427500000000002
5,5,09:00,09:15,09:15,0.0,0.0,0,0.0,250.0,250.0,1.0,1.0,0.0,0.0,0.0,0.0,10.030000000000005,10.030000000000005,0.0,0.0,0.0,10.427500000000002,10.427500000000002
6,6,09:15,09:30,09:30,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.72,-4.72,10.030000000000005,8.850000000000005,0.0,4.72,-4.72,10.427500000000002,9.247500000000002
7,7,09:30,09:45,09:45,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,3.18,-3.18,8.850000000000005,8.055000000000005,0.0,4.77,-4.77,9.247500000000002,8.055000000000003
8,8,09:45,10:00,10:00,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,8.055000000000005,6.862500000000005,0.0,4.77,-4.77,8.055000000000003,6.862500000000003
9,9,10:00,10:15,10:15,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,3.18,-3.18,6.862500000000005,6.067500000000005,0.0,3.18,-3.18,6.862500000000003,6.0675000000000034
10,10,10:15,10:30,10:30,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0.0,6.067500000000005,6.067500000000005,0.0,0.0,0.0,6.0675000000000034,6.0675000000000034
11,11,10:30,10:45,10:45,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,3.18,-3.18,6.067500000000005,5.272500000000005,0.0,4.77,-4.77,6.0675000000000034,4.8750000000000036
12,12,10:45,11:00,11:00,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.72,-4.72,5.272500000000005,4.092500000000006,0.0,0.0,0.0,4.8750000000000036,4.8750000000000036
13,13,11:00,11:15,11:15,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,3.18,-3.18,4.092500000000006,3.2975000000000056,0.0,0.0,0.0,4.8750000000000036,4.8750000000000036
14,14,11:15,11:30,11:30,0.0,0.43157894736840063,0,-0.43157894736840063,250.0,249.8864265927978,0.0,0.0,1.0,0.43157894736840063,0.0,0.43157894736840063,3.2975000000000056,3.400000000000001,0.0,0.0,0.0,4.8750000000000036,4.8750000000000036
15,15,11:30,11:45,11:45,0.0,9.789473684210275,0,-9.789473684210275,249.8864265927978,247.3102493074793,0.0,0.0,1.0,8.0,0.0,8.0,3.400000000000001,5.300000000000001,1.7894736842105132,0.0,1.7894736842105132,4.8750000000000036,5.300000000000001
16,16,11:45,12:00,12:00,0.0,15.999999999999915,0,-15.999999999999915,247.3102493074793,243.09972299168984,0.0,0.0,1.0,8.0,0.0,8.0,5.300000000000001,7.200000000000001,8.0,0.0,8.0,5.300000000000001,7.2
17,17,12:00,12:15,12:15,0.0,16.000000000000025,0,-16.000000000000025,243.09972299168984,238.88919667590037,0.0,0.0,1.0,8.0,0.0,8.0,7.200000000000001,9.100000000000001,8.0,0.0,8.0,7.2,9.1
18,18,12:15,12:30,12:30,0.0,16.000000000000046,0,-16.000000000000046,238.88919667590037,234.67867036011089,0.0,0.0,1.0,8.0,0.0,8.0,9.100000000000001,11.0,8.0,0.0,8.0,9.1,11.0
19,19,12:30,12:45,12:45,0.0,16.0,0,-16.0,234.67867036011089,230.4681440443214,0.0,0.0,1.0,8.0,0.0,8.0,11.0,12.9,8.0,0.0,8.0,11.0,12.9
20,20,12:45,13:00,13:00,0.0,16.000000000000025,0,-16.000000000000025,230.4681440443214,226.25761772853193,0.0,0.0,1.0,8.0,0.0,8.0,12.9,14.8,8.0,0.0,8.0,12.9,14.8
21,21,13:00,13:15,13:15,0.0,0.0,0,0.0,226.25761772853193,226.25761772853193,0.0,0.0,1.0,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
22,22,13:15,13:30,13:30,-0.0,0.0,0,-0.0,226.25761772853193,226.25761772853193,0.0,0.0,1.0,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
23,23,13:30,13:45,13:45,-0.0,0.0,0,-0.0,226.25761772853193,226.25761772853193,0.0,0.0,1.0,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
24,24,13:45,14:00,14:00,-0.0,0.0,0,-0.0,226.25761772853193,226.25761772853193,0.0,0.0,1.0,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
25,25,14:00,14:15,14:15,-0.0,0.0,0,-0.0,226.25761772853193,226.25761772853193,0.0,0.0,1.0,0.0,4.77,-4.77,14.8,13.607500000000002,0.0,0.0,0.0,14.8,14.8
26,26,14:15,14:30,14:30,-0.0,0.0,0,-0.0,226.25761772853193,226.25761772853193,0.0,0.0,1.0,0.0,0.0,0.0,13.607500000000002,13.607500000000002,0.0,0.0,0.0,14.8,14.8
27,27,14:30,14:45,14:45,-0.0,0.0,0,-0.0,226.25761772853193,226.25761772853193,0.0,0.0,1.0,0.0,0.0,0.0,13.607500000000002,13.607500000000002,0.0,0.0,0.0,14.8,14.8
28,28,14:45,15:00,15:00,-0.0,0.0,0,-0.0,226.25761772853193,226.25761772853193,0.0,0.0,1.0,0.0,0.0,0.0,13.607500000000002,13.607500000000002,0.0,0.0,0.0,14.8,14.8
29,29,15:00,15:15,15:15,0.0,0.0,0,0.0,226.25761772853193,226.25761772853193,0.0,0.0,1.0,0.0,0.0,0.0,13.607500000000002,13.607500000000002,0.0,0.0,0.0,14.8,14.8
30,30,15:15,15:30,15:30,0.0,5.021052631578943,0,-5.021052631578943,226.25761772853193,224.93628808864273,0.0,0.0,1.0,5.021052631578943,0.0,5.021052631578943,13.607500000000002,14.8,0.0,0.0,0.0,14.8,14.8
31,31,15:30,15:45,15:45,0.0,0.0,0,0.0,224.93628808864273,224.93628808864273,1.0,1.0,0.0,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
32,32,15:45,16:00,16:00,2.345142634980798,0.0,0,2.345142634980798,224.93628808864273,225.49325946445066,0.0,0.0,1.0,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
33,33,16:00,16:15,16:15,-0.0,0.0,0,-0.0,225.49325946445066,225.49325946445066,0.0,0.0,1.0,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
34,34,16:15,16:30,16:30,-0.0,0.0,0,-0.0,225.49325946445066,225.49325946445066,0.0,0.0,1.0,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
35,35,16:30,16:45,16:45,-0.0,0.0,0,-0.0,225.49325946445066,225.49325946445066,0.0,0.0,1.0,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
36,36,16:45,17:00,17:00,-0.0,0.0,0,-0.0,225.49325946445066,225.49325946445066,0.0,0.0,1.0,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
37,37,17:00,17:15,17:15,-0.0,0.0,0,-0.0,225.49325946445066,225.49325946445066,0.0,0.0,1.0,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
38,38,17:15,17:30,17:30,-0.0,0.0,0,-0.0,225.49325946445066,225.49325946445066,0.0,0.0,1.0,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
39,39,17:30,17:45,17:45,-0.0,0.0,0,-0.0,225.49325946445066,225.49325946445066,0.0,0.0,1.0,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
40,40,17:45,18:00,18:00,-0.0,0.0,0,-0.0,225.49325946445066,225.49325946445066,0.0,0.0,1.0,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
41,41,18:00,18:15,18:15,-0.0,0.0,0,-0.0,225.49325946445066,225.49325946445066,0.0,0.0,1.0,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
42,42,18:15,18:30,18:30,-0.0,0.0,0,-0.0,225.49325946445066,225.49325946445066,0.0,0.0,1.0,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
43,43,18:30,18:45,18:45,-0.0,0.0,0,-0.0,225.49325946445066,225.49325946445066,0.0,0.0,1.0,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
44,44,18:45,19:00,19:00,-0.0,0.0,0,-0.0,225.49325946445066,225.49325946445066,0.0,0.0,1.0,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
45,45,19:00,19:15,19:15,-0.0,0.0,0,-0.0,225.49325946445066,225.49325946445066,0.0,0.0,1.0,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
