Time_Period,Time_Label,MCS_1_SOE_kWh,MCS_1_Max_SOE_kWh,MCS_1_Min_SOE_kWh
1,08:00,250.0,250.0,50.0
2,08:15,250.0,250.0,50.0
3,08:30,250.0,250.0,50.0
4,08:45,250.00000000000003,250.0,50.0
5,09:00,250.00000000000003,250.0,50.0
6,09:15,247.8947368421053,250.0,50.0
7,09:30,247.8947368421053,250.0,50.0
8,09:45,247.8947368421053,250.0,50.0
9,10:00,246.9002770083103,250.0,50.0
10,10:15,246.9002770083103,250.0,50.0
11,10:30,246.9002770083103,250.0,50.0
12,10:45,246.9002770083103,250.0,50.0
13,11:00,246.9002770083103,250.0,50.0
14,11:15,244.79501385041556,250.0,50.0
15,11:30,243.88365650969536,250.0,50.0
16,11:45,241.77839335180062,250.0,50.0
17,12:00,237.56786703601114,250.0,50.0
18,12:15,233.35734072022166,250.0,50.0
19,12:30,229.14681440443218,250.0,50.0
20,12:45,224.9362880886427,250.0,50.0
21,13:00,224.9362880886427,250.0,50.0
22,13:15,225.38385437277407,250.0,50.0
23,13:30,225.83142065690546,250.0,50.0
24,13:45,226.27898694103683,250.0,50.0
25,14:00,226.72655322516823,250.0,50.0
26,14:15,227.1741195092996,250.0,50.0
27,14:30,227.621685793431,250.0,50.0
28,14:45,228.06925207756237,250.0,50.0
29,15:00,228.5168183616938,250.0,50.0
30,15:15,228.96438464582516,250.0,50.0
31,15:30,229.41195092995656,250.0,50.0
32,15:45,229.85951721408793,250.0,50.0
33,16:00,230.3070834982193,250.0,50.0
34,16:15,230.3070834982193,250.0,50.0
35,16:30,230.3070834982193,250.0,50.0
36,16:45,230.3070834982193,250.0,50.0
37,17:00,230.3070834982193,250.0,50.0
38,17:15,230.3070834982193,250.0,50.0
39,17:30,230.3070834982193,250.0,50.0
40,17:45,230.3070834982193,250.0,50.0
41,18:00,230.3070834982193,250.0,50.0
42,18:15,230.3070834982193,250.0,50.0
43,18:30,230.3070834982193,250.0,50.0
44,18:45,230.3070834982193,250.0,50.0
45,19:00,230.3070834982193,250.0,50.0
46,19:15,230.3070834982193,250.0,50.0
47,19:30,230.3070834982193,250.0,50.0
48,19:45,230.3070834982193,250.0,50.0
49,20:00,230.3070834982193,250.0,50.0
50,20:15,230.3070834982193,250.0,50.0
51,20:30,230.3070834982193,250.0,50.0
52,20:45,230.30708349821927,250.0,50.0
53,21:00,230.30708349821927,250.0,50.0
54,21:15,230.75464978235067,250.0,50.0
55,21:30,231.20221606648204,250.0,50.0
56,21:45,231.64978235061344,250.0,50.0
57,22:00,232.0973486347448,250.0,50.0
58,22:15,232.5449149188762,250.0,50.0
59,22:30,232.99248120300757,250.0,50.0
60,22:45,233.44004748713894,250.0,50.0
61,23:00,233.8876137712703,250.0,50.0
62,23:15,234.33518005540168,250.0,50.0
63,23:30,234.78274633953308,250.0,50.0
64,23:45,235.23031262366445,250.0,50.0
65,00:00,235.67787890779584,250.0,50.0
66,00:15,236.1254451919272,250.0,50.0
67,00:30,236.5730114760586,250.0,50.0
68,00:45,237.02057776018998,250.0,50.0
69,01:00,237.46814404432135,250.0,50.0
70,01:15,237.91571032845272,250.0,50.0
71,01:30,238.3632766125841,250.0,50.0
72,01:45,238.81084289671549,250.0,50.0
73,02:00,239.25840918084685,250.0,50.0
74,02:15,239.70597546497825,250.0,50.0
75,02:30,240.15354174910962,250.0,50.0
76,02:45,240.60110803324102,250.0,50.0
77,03:00,241.0486743173724,250.0,50.0
78,03:15,241.49624060150376,250.0,50.0
79,03:30,241.94380688563513,250.0,50.0
80,03:45,242.3913731697665,250.0,50.0
81,04:00,242.8389394538979,250.0,50.0
82,04:15,243.28650573802926,250.0,50.0
83,04:30,243.73407202216066,250.0,50.0
84,04:45,244.18163830629203,250.0,50.0
85,05:00,244.62920459042343,250.0,50.0
86,05:15,245.0767708745548,250.0,50.0
87,05:30,245.52433715868617,250.0,50.0
88,05:45,245.97190344281756,250.0,50.0
89,06:00,246.41946972694893,250.0,50.0
90,06:15,246.86703601108033,250.0,50.0
91,06:30,247.3146022952117,250.0,50.0
92,06:45,247.7621685793431,250.0,50.0
93,07:00,248.20973486347447,250.0,50.0
94,07:15,248.65730114760584,250.0,50.0
95,07:30,249.10486743173723,250.0,50.0
96,07:45,249.5524337158686,250.0,50.0
97,08:00,250.0,250.0,50.0
