Time_Interval,Time_Period,Start_Time_Label,End_Time_Label,Time_Label,MCS_1_Charging_kW,MCS_1_Discharging_kW,MCS_1_Traveling_kW,MCS_1_NetPower_kW,MCS_1_SOE_Start_kWh,MCS_1_SOE_End_kWh,MCS_1_sum_x,MCS_1_sum_y_trv,MCS_1_sum_z,CEV_1_Charging_kW,CEV_1_Working_kW,CEV_1_NetPower_kW,CEV_1_SOE_Start_kWh,CEV_1_SOE_End_kWh,CEV_2_Charging_kW,CEV_2_Working_kW,CEV_2_NetPower_kW,CEV_2_SOE_Start_kWh,CEV_2_SOE_End_kWh
1,1,08:00,08:15,08:15,0.0,0.0,0,0.0,250.0,250.0,1.0,1.0,0.0,0.0,4.7700000000000005,-4.7700000000000005,14.8,13.6075,0.0,4.7700000000000005,-4.7700000000000005,14.8,13.6075
2,2,08:15,08:30,08:30,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,13.6075,12.415000000000001,0.0,4.77,-4.77,13.6075,12.415000000000001
3,3,08:30,08:45,08:45,0.0,0.0,0,0.0,250.0,250.00000000000003,0.0,0.0,1.0,0.0,4.77,-4.77,12.415000000000001,11.2225,0.0,4.77,-4.77,12.415000000000001,11.222500000000002
4,4,08:45,09:00,09:00,0.0,0.0,0,0.0,250.00000000000003,250.00000000000003,0.0,0.0,1.0,0.0,3.18,-3.18,11.2225,10.4275,0.0,4.77,-4.77,11.222500000000002,10.030000000000003
5,5,09:00,09:15,09:15,0.0,8.0,0,-8.0,250.00000000000003,247.8947368421053,0.0,0.0,1.0,8.0,0.0,8.0,10.4275,12.3275,0.0,0.0,0.0,10.030000000000003,10.030000000000003
6,6,09:15,09:30,09:30,0.0,0.0,0,0.0,247.8947368421053,247.8947368421053,0.0,0.0,1.0,0.0,4.72,-4.72,12.3275,11.1475,0.0,4.72,-4.72,10.030000000000003,8.850000000000003
7,7,09:30,09:45,09:45,0.0,0.0,0,0.0,247.8947368421053,247.8947368421053,0.0,0.0,1.0,-0.0,4.77,-4.77,11.1475,9.955,0.0,4.77,-4.77,8.850000000000003,7.657500000000003
8,8,09:45,10:00,10:00,0.0,3.7789473684209676,0,-3.7789473684209676,247.8947368421053,246.9002770083103,0.0,0.0,1.0,3.7789473684209676,0.0,3.7789473684209676,9.955,10.85249999999998,0.0,4.77,-4.77,7.657500000000003,6.465000000000003
9,9,10:00,10:15,10:15,0.0,0.0,0,0.0,246.9002770083103,246.9002770083103,0.0,0.0,1.0,-0.0,3.18,-3.18,10.85249999999998,10.05749999999998,0.0,4.77,-4.77,6.465000000000003,5.2725000000000035
10,10,10:15,10:30,10:30,0.0,0.0,0,0.0,246.9002770083103,246.9002770083103,0.0,0.0,1.0,-0.0,4.77,-4.77,10.05749999999998,8.86499999999998,0.0,0.0,0.0,5.2725000000000035,5.2725000000000035
11,11,10:30,10:45,10:45,0.0,0.0,0,0.0,246.9002770083103,246.9002770083103,0.0,0.0,1.0,-0.0,3.18,-3.18,8.86499999999998,8.06999999999998,0.0,3.179999999999842,-3.179999999999842,5.2725000000000035,4.477500000000044
12,12,10:45,11:00,11:00,0.0,0.0,0,0.0,246.9002770083103,246.9002770083103,0.0,0.0,1.0,-0.0,4.72,-4.72,8.06999999999998,6.889999999999981,0.0,0.0,0.0,4.477500000000044,4.477499999999992
13,13,11:00,11:15,11:15,0.0,8.0,0,-8.0,246.9002770083103,244.79501385041556,0.0,0.0,1.0,8.0,0.0,8.0,6.889999999999981,8.789999999999981,0.0,0.0,0.0,4.477499999999992,4.477499999999992
14,14,11:15,11:30,11:30,0.0,3.46315789473687,0,-3.46315789473687,244.79501385041556,243.88365650969536,0.0,0.0,1.0,0.0,3.18,-3.18,8.789999999999981,7.9949999999999815,3.46315789473687,0.0,3.46315789473687,4.477499999999992,5.299999999999999
15,15,11:30,11:45,11:45,0.0,8.0,0,-8.0,243.88365650969536,241.77839335180062,0.0,0.0,1.0,-0.0,3.1799999999999744,-3.1799999999999744,7.9949999999999815,7.200000000000001,8.0,0.0,8.0,5.299999999999999,7.199999999999998
16,16,11:45,12:00,12:00,0.0,16.0,0,-16.0,241.77839335180062,237.56786703601114,0.0,0.0,1.0,8.0,0.0,8.0,7.200000000000001,9.100000000000001,8.0,0.0,8.0,7.199999999999998,9.100000000000001
17,17,12:00,12:15,12:15,0.0,16.0,0,-16.0,237.56786703601114,233.35734072022166,0.0,0.0,1.0,8.0,0.0,8.0,9.100000000000001,11.0,8.0,0.0,8.0,9.100000000000001,11.000000000000002
18,18,12:15,12:30,12:30,0.0,16.0,0,-16.0,233.35734072022166,229.14681440443218,0.0,0.0,1.0,8.0,0.0,8.0,11.0,12.9,8.0,0.0,8.0,11.000000000000002,12.900000000000002
19,19,12:30,12:45,12:45,-0.0,16.0,0,-16.0,229.14681440443218,224.9362880886427,0.0,0.0,1.0,8.0,0.0,8.0,12.9,14.8,8.0,0.0,8.0,12.900000000000002,14.800000000000002
20,20,12:45,13:00,13:00,-0.0,0.0,0,-0.0,224.9362880886427,224.9362880886427,1.0,1.0,0.0,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.800000000000002,14.8
21,21,13:00,13:15,13:15,1.8844896173952836,0.0,0,1.8844896173952836,224.9362880886427,225.38385437277407,0.0,0.0,1.0,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
