Time_Period,Time_Start_Label,Time_End_Label,Electricity_Price_USD_per_kWh,CO2_Emission_Factor_kg_CO2_per_kWh
1,08:00,08:15,0.387,0.184844771
2,08:15,08:30,0.387,0.18748346
3,08:30,08:45,0.387,0.187221003
4,08:45,09:00,0.387,0.174390042
5,09:00,09:15,0.387,0.169646374
6,09:15,09:30,0.387,0.179379949
7,09:30,09:45,0.387,0.173308146
8,09:45,10:00,0.387,0.169005444
9,10:00,10:15,0.261,0.166717776
10,10:15,10:30,0.261,0.171203448
11,10:30,10:45,0.261,0.169740242
12,10:45,11:00,0.261,0.157205795
13,11:00,11:15,0.261,0.156127377
14,11:15,11:30,0.261,0.158874986
15,11:30,11:45,0.261,0.155246426
16,11:45,12:00,0.261,0.147787556
17,12:00,12:15,0.261,0.142853662
18,12:15,12:30,0.261,0.150148781
19,12:30,12:45,0.261,0.142166138
20,12:45,13:00,0.261,0.134292064
21,13:00,13:15,0.261,0.126533506
22,13:15,13:30,0.261,0.136996378
23,13:30,13:45,0.261,0.130425591
24,13:45,14:00,0.261,0.124229477
25,14:00,14:15,0.387,0.120622693
26,14:15,14:30,0.387,0.126193867
27,14:30,14:45,0.387,0.126695016
28,14:45,15:00,0.387,0.123729362
29,15:00,15:15,0.387,0.125497949
30,15:15,15:30,0.387,0.132440012
31,15:30,15:45,0.387,0.128745287
32,15:45,16:00,0.387,0.12752758
33,16:00,16:15,0.627,0.130457634
34,16:15,16:30,0.627,0.129548016
35,16:30,16:45,0.627,0.132261205
36,16:45,17:00,0.627,0.134973404
37,17:00,17:15,0.627,0.14154539
38,17:15,17:30,0.627,0.160302751
39,17:30,17:45,0.627,0.166092752
40,17:45,18:00,0.627,0.162902898
41,18:00,18:15,0.627,0.164653432
42,18:15,18:30,0.627,0.161500774
43,18:30,18:45,0.627,0.16070126
44,18:45,19:00,0.627,0.166316509
45,19:00,19:15,0.627,0.170954975
46,19:15,19:30,0.627,0.182877191
47,19:30,19:45,0.627,0.191482601
48,19:45,20:00,0.627,0.20251508
49,20:00,20:15,0.387,0.210075598
50,20:15,20:30,0.387,0.205244566
51,20:30,20:45,0.387,0.205935973
52,20:45,21:00,0.387,0.208513631
53,21:00,21:15,0.387,0.218080938
54,21:15,21:30,0.387,0.21907319
55,21:30,21:45,0.387,0.223669117
56,21:45,22:00,0.387,0.237339
57,22:00,22:15,0.387,0.24652626
58,22:15,22:30,0.387,0.266755136
59,22:30,22:45,0.387,0.281316832
60,22:45,23:00,0.387,0.288058009
61,23:00,23:15,0.387,0.293576081
62,23:15,23:30,0.387,0.287515883
63,23:30,23:45,0.387,0.292663909
64,23:45,00:00,0.387,0.304429741
65,00:00,00:15,0.261,0.312407382
66,00:15,00:30,0.261,0.27458893
67,00:30,00:45,0.261,0.276681872
68,00:45,01:00,0.261,0.276716347
69,01:00,01:15,0.261,0.274507571
70,01:15,01:30,0.261,0.278281819
71,01:30,01:45,0.261,0.281500364
72,01:45,02:00,0.261,0.281866624
73,02:00,02:15,0.261,0.280588542
74,02:15,02:30,0.261,0.281072036
75,02:30,02:45,0.261,0.284023345
76,02:45,03:00,0.261,0.282971365
77,03:00,03:15,0.261,0.284195843
78,03:15,03:30,0.261,0.288293331
79,03:30,03:45,0.261,0.29093524
80,03:45,04:00,0.261,0.292181712
81,04:00,04:15,0.261,0.290687728
82,04:15,04:30,0.261,0.280336211
83,04:30,04:45,0.261,0.27995689
84,04:45,05:00,0.261,0.279516539
85,05:00,05:15,0.261,0.282027184
86,05:15,05:30,0.261,0.277843602
87,05:30,05:45,0.261,0.280894886
88,05:45,06:00,0.261,0.283205714
89,06:00,06:15,0.387,0.284037684
90,06:15,06:30,0.387,0.275596562
91,06:30,06:45,0.387,0.271416987
92,06:45,07:00,0.387,0.264663433
93,07:00,07:15,0.387,0.255885549
94,07:15,07:30,0.387,0.232169857
95,07:30,07:45,0.387,0.217048995
96,07:45,08:00,0.387,0.2000768
