Time_Interval,Time_Period,Start_Time_Label,End_Time_Label,Time_Label,MCS_1_Charging_kW,MCS_1_Discharging_kW,MCS_1_Traveling_kW,MCS_1_NetPower_kW,MCS_1_SOE_Start_kWh,MCS_1_SOE_End_kWh,MCS_1_sum_x,MCS_1_sum_y_trv,MCS_1_sum_z,CEV_1_Charging_kW,CEV_1_Working_kW,CEV_1_NetPower_kW,CEV_1_SOE_Start_kWh,CEV_1_SOE_End_kWh,CEV_2_Charging_kW,CEV_2_Working_kW,CEV_2_NetPower_kW,CEV_2_SOE_Start_kWh,CEV_2_SOE_End_kWh
1,1,08:00,08:15,08:15,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.7700000000000005,-4.7700000000000005,14.8,13.6075,0.0,3.18,-3.18,14.8,14.005
2,2,08:15,08:30,08:30,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,13.6075,12.415000000000001,0.0,4.77,-4.77,14.005,12.8125
3,3,08:30,08:45,08:45,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,12.415000000000001,11.2225,0.0,4.77,-4.77,12.8125,11.620000000000001
4,4,08:45,09:00,09:00,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,11.2225,10.03,0.0,4.77,-4.77,11.620000000000001,10.427500000000002
5,5,09:00,09:15,09:15,0.0,0.0,0,0.0,250.0,250.0,1.0,1.0,0.0,0.0,0.0,0.0,10.03,10.03,0.0,0.0,0.0,10.427500000000002,10.4275
6,6,09:15,09:30,09:30,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.72,-4.72,10.03,8.85,0.0,4.72,-4.72,10.4275,9.2475
7,7,09:30,09:45,09:45,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,3.18,-3.18,8.85,8.055,0.0,4.77,-4.77,9.2475,8.055
8,8,09:45,10:00,10:00,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,8.055,6.8625,0.0,4.77,-4.77,8.055,6.862500000000001
9,9,10:00,10:15,10:15,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,3.18,-3.18,6.8625,6.0675,0.0,3.18,-3.18,6.862500000000001,6.067500000000001
10,10,10:15,10:30,10:30,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0675,6.0675,0.0,0.0,0.0,6.067500000000001,6.0675
11,11,10:30,10:45,10:45,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,3.18,-3.18,6.0675,5.2725,0.0,4.77,-4.77,6.0675,4.875
12,12,10:45,11:00,11:00,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.72,-4.72,5.2725,4.0925,0.0,0.0,0.0,4.875,4.875
13,13,11:00,11:15,11:15,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,3.18,-3.18,4.0925,3.2975,0.0,0.0,0.0,4.875,4.875
14,14,11:15,11:30,11:30,0.0,8.431157894736714,0,-8.431157894736714,250.0,247.78127423822718,0.0,0.0,1.0,0.43115789473671384,0.0,0.43115789473671384,3.2975,3.3998999999999695,8.0,0.0,8.0,4.875,6.775
15,15,11:30,11:45,11:45,0.0,8.0,0,-8.0,247.78127423822718,245.67601108033244,0.0,0.0,1.0,8.0,0.0,8.0,3.3998999999999695,5.29989999999997,0.0,0.0,0.0,6.775,6.775
16,16,11:45,12:00,12:00,0.0,9.789473684210526,0,-9.789473684210526,245.67601108033244,243.0998337950139,0.0,0.0,1.0,8.0,0.0,8.0,5.29989999999997,7.199899999999969,1.7894736842105257,0.0,1.7894736842105257,6.775,7.199999999999999
17,17,12:00,12:15,12:15,0.0,16.0,0,-16.0,243.0998337950139,238.8893074792244,0.0,0.0,1.0,8.0,0.0,8.0,7.199899999999969,9.09989999999997,8.0,0.0,8.0,7.199999999999999,9.1
18,18,12:15,12:30,12:30,0.0,16.0,0,-16.0,238.8893074792244,234.67878116343493,0.0,0.0,1.0,8.0,0.0,8.0,9.09989999999997,10.99989999999997,8.0,0.0,8.0,9.1,11.0
