Time_Period,Time_Label,MCS_1_SOE_kWh,MCS_1_Max_SOE_kWh,MCS_1_Min_SOE_kWh
1,08:00,250.0,250.0,50.0
2,08:15,250.0,250.0,50.0
3,08:30,250.0,250.0,50.0
4,08:45,250.0,250.0,50.0
5,09:00,250.0,250.0,50.0
6,09:15,250.0,250.0,50.0
7,09:30,250.0,250.0,50.0
8,09:45,250.0,250.0,50.0
9,10:00,250.0,250.0,50.0
10,10:15,250.0,250.0,50.0
11,10:30,250.0,250.0,50.0
12,10:45,250.0,250.0,50.0
13,11:00,248.64819944598338,250.0,50.0
14,11:15,246.54293628808867,250.0,50.0
15,11:30,244.43767313019393,250.0,50.0
16,11:45,242.3324099722992,250.0,50.0
17,12:00,240.22714681440445,250.0,50.0
18,12:15,238.1218836565097,250.0,50.0
19,12:30,238.1218836565097,250.0,50.0
20,12:45,238.98211489822958,250.0,50.0
21,13:00,239.84234613994943,250.0,50.0
22,13:15,240.7025773816693,250.0,50.0
23,13:30,241.56280862338915,250.0,50.0
24,13:45,241.56280862338915,250.0,50.0
25,14:00,241.56280862338915,250.0,50.0
26,14:15,241.44923521618693,250.0,50.0
27,14:30,239.3439720582922,250.0,50.0
28,14:45,237.23870890039746,250.0,50.0
29,15:00,235.13344574250272,250.0,50.0
30,15:15,233.02818258460798,250.0,50.0
31,15:30,230.92291942671324,250.0,50.0
32,15:45,228.8176562688185,250.0,50.0
33,16:00,228.8176562688185,250.0,50.0
34,16:15,228.8176562688185,250.0,50.0
35,16:30,228.8176562688185,250.0,50.0
36,16:45,228.8176562688185,250.0,50.0
37,17:00,228.8176562688185,250.0,50.0
38,17:15,228.8176562688185,250.0,50.0
39,17:30,228.8176562688185,250.0,50.0
40,17:45,228.8176562688185,250.0,50.0
41,18:00,228.8176562688185,250.0,50.0
42,18:15,228.8176562688185,250.0,50.0
43,18:30,227.39937372034206,250.0,50.0
44,18:45,225.29411056244732,250.0,50.0
45,19:00,225.29411056244732,250.0,50.0
46,19:15,225.29411056244732,250.0,50.0
47,19:30,225.29411056244732,250.0,50.0
48,19:45,225.29411056244732,250.0,50.0
49,20:00,224.39660363723956,250.0,50.0
50,20:15,222.29134047934483,250.0,50.0
51,20:30,220.18607732145009,250.0,50.0
52,20:45,218.08081416355535,250.0,50.0
53,21:00,215.9755510056606,250.0,50.0
54,21:15,213.87028784776587,250.0,50.0
55,21:30,213.87028784776587,250.0,50.0
56,21:45,214.73051908948574,250.0,50.0
57,22:00,215.59075033120558,250.0,50.0
58,22:15,216.45098157292546,250.0,50.0
59,22:30,217.31121281464533,250.0,50.0
60,22:45,218.17144405636517,250.0,50.0
61,23:00,219.03167529808505,250.0,50.0
62,23:15,219.89190653980486,250.0,50.0
63,23:30,220.75213778152474,250.0,50.0
64,23:45,221.61236902324458,250.0,50.0
65,00:00,222.47260026496446,250.0,50.0
66,00:15,223.3328315066843,250.0,50.0
67,00:30,224.19306274840417,250.0,50.0
68,00:45,225.05329399012405,250.0,50.0
69,01:00,225.9135252318439,250.0,50.0
70,01:15,226.77375647356376,250.0,50.0
71,01:30,227.63398771528364,250.0,50.0
72,01:45,228.4942189570035,250.0,50.0
73,02:00,229.35445019872336,250.0,50.0
74,02:15,230.21468144044323,250.0,50.0
75,02:30,231.07491268216307,250.0,50.0
76,02:45,231.93514392388295,250.0,50.0
77,03:00,232.79537516560282,250.0,50.0
78,03:15,233.65560640732267,250.0,50.0
79,03:30,234.51583764904254,250.0,50.0
80,03:45,235.37606889076238,250.0,50.0
81,04:00,236.23630013248226,250.0,50.0
82,04:15,237.0965313742021,250.0,50.0
83,04:30,237.95676261592197,250.0,50.0
84,04:45,238.81699385764182,250.0,50.0
85,05:00,239.6772250993617,250.0,50.0
86,05:15,240.53745634108157,250.0,50.0
87,05:30,241.3976875828014,250.0,50.0
88,05:45,242.25791882452128,250.0,50.0
89,06:00,243.11815006624113,250.0,50.0
90,06:15,243.978381307961,250.0,50.0
91,06:30,244.83861254968085,250.0,50.0
92,06:45,245.69884379140072,250.0,50.0
93,07:00,246.55907503312054,250.0,50.0
94,07:15,247.4193062748404,250.0,50.0
95,07:30,248.27953751656028,250.0,50.0
96,07:45,249.13976875828013,250.0,50.0
97,08:00,250.0,250.0,50.0
