src,nodes,in_queue,leaves,explored_pct,best_bound,best_sol,gap_pct,cuts,in_lp,confl,lp_iters,time_s
,0,0,0,0.0,0.0,Inf,Inf,0,0,0,0,0.6
,0,0,0,0.0,79.71354197,Inf,Inf,0,0,3,985,0.7
L,0,0,0,0.0,120.1555298,3618.500414,96.68,968,125,156,9767,12.2
,0,0,0,0.0,120.1555298,3618.500414,96.68,81,0,0,21501,12.4
,0,0,0,0.0,120.1555298,3618.500414,96.68,81,72,2,22761,12.5
,44,0,1,0.0,120.1676255,3618.500414,96.68,169,79,4,77571,22.4
B,62,0,4,0.0,120.1676255,3292.617239,96.35,182,79,35,77912,23.0
B,67,0,7,0.0,120.1676255,3292.617239,96.35,194,79,153,78096,23.3
T,72,0,10,0.0,120.1676255,2797.082805,95.7,198,79,202,78178,23.6
T,87,2,17,0.0,120.1676255,2797.082805,95.7,208,79,273,78419,23.8
,120,54,24,0.0,122.5410894,2797.082805,95.62,253,97,331,128799,31.3
T,160,53,31,0.0,122.5410894,2792.446051,95.61,262,97,396,131139,32.4
L,172,14,33,0.59,126.3583571,682.7103956,81.49,510,118,407,131622,38.8
,384,41,111,0.67,126.3583571,682.7103956,81.49,843,122,1248,179033,52.1
L,576,73,187,0.87,126.3583571,680.8151014,81.44,1331,94,2596,186273,62.9
,800,125,270,0.96,126.3583571,680.8151014,81.44,2069,131,5317,225468,74.7
,996,163,344,1.09,126.3583571,680.8151014,81.44,2535,149,6794,256708,87.5
,1253,195,450,1.39,129.1898091,680.8151014,81.02,2756,121,8424,271343,92.6
,1389,0,0,0.0,129.1898091,680.8151014,81.02,135,0,0,277332,95.1
,1389,0,0,0.0,129.1898091,680.8151014,81.02,135,60,2,278495,95.2
,1604,23,86,0.42,129.1898091,680.8151014,81.02,1558,127,866,290068,100.3
T,1687,29,115,0.44,129.1898091,680.7173185,81.02,1587,127,1380,291674,101.2
,1932,105,202,0.72,129.1898091,680.7173185,81.02,2010,127,2960,301234,106.2
,2295,190,328,0.74,129.1898091,680.7173185,81.02,2487,115,5096,314883,112.1
,2479,228,396,1.15,129.1898091,680.7173185,81.02,2766,172,6759,330576,117.1
,2796,309,509,1.17,129.1898091,680.7173185,81.02,3047,144,7700,346569,122.1
,2818,326,516,1.17,129.1898091,680.7173185,81.02,2949,112,7728,359400,128.2
T,2835,43,520,4.79,129.1898091,193.7111269,33.31,2953,112,7769,359780,128.3
