Time_Period,Time_Start_Label,Time_End_Label,MCS_1_Location,MCS_1_Location_Type
1,08:00,08:15,1,Grid
2,08:15,08:30,1,Grid
3,08:30,08:45,1,Grid
4,08:45,09:00,0,Travel
5,09:00,09:15,2,Construction
6,09:15,09:30,0,Travel
7,09:30,09:45,0,Travel
8,09:45,10:00,3,Construction
9,10:00,10:15,3,Construction
10,10:15,10:30,0,Travel
11,10:30,10:45,0,Travel
12,10:45,11:00,2,Construction
13,11:00,11:15,2,Construction
14,11:15,11:30,2,Construction
15,11:30,11:45,2,Construction
16,11:45,12:00,2,Construction
17,12:00,12:15,2,Construction
18,12:15,12:30,0,Travel
19,12:30,12:45,1,Grid
20,12:45,13:00,0,Travel
21,13:00,13:15,2,Construction
22,13:15,13:30,0,Travel
23,13:30,13:45,0,Travel
24,13:45,14:00,3,Construction
25,14:00,14:15,3,Construction
26,14:15,14:30,3,Construction
27,14:30,14:45,3,Construction
28,14:45,15:00,3,Construction
29,15:00,15:15,3,Construction
30,15:15,15:30,3,Construction
31,15:30,15:45,3,Construction
32,15:45,16:00,3,Construction
33,16:00,16:15,3,Construction
34,16:15,16:30,3,Construction
35,16:30,16:45,3,Construction
36,16:45,17:00,3,Construction
37,17:00,17:15,3,Construction
38,17:15,17:30,3,Construction
39,17:30,17:45,3,Construction
40,17:45,18:00,3,Construction
41,18:00,18:15,3,Construction
42,18:15,18:30,3,Construction
43,18:30,18:45,3,Construction
44,18:45,19:00,0,Travel
45,19:00,19:15,1,Grid
46,19:15,19:30,0,Travel
47,19:30,19:45,2,Construction
48,19:45,20:00,2,Construction
49,20:00,20:15,2,Construction
50,20:15,20:30,2,Construction
51,20:30,20:45,2,Construction
52,20:45,21:00,2,Construction
53,21:00,21:15,2,Construction
54,21:15,21:30,0,Travel
55,21:30,21:45,1,Grid
56,21:45,22:00,1,Grid
57,22:00,22:15,1,Grid
58,22:15,22:30,1,Grid
59,22:30,22:45,0,Travel
60,22:45,23:00,2,Construction
61,23:00,23:15,0,Travel
62,23:15,23:30,0,Travel
63,23:30,23:45,3,Construction
64,23:45,00:00,3,Construction
65,00:00,00:15,3,Construction
66,00:15,00:30,3,Construction
67,00:30,00:45,3,Construction
68,00:45,01:00,3,Construction
69,01:00,01:15,3,Construction
70,01:15,01:30,3,Construction
71,01:30,01:45,0,Travel
72,01:45,02:00,1,Grid
73,02:00,02:15,1,Grid
74,02:15,02:30,1,Grid
75,02:30,02:45,0,Travel
76,02:45,03:00,3,Construction
77,03:00,03:15,3,Construction
78,03:15,03:30,3,Construction
79,03:30,03:45,3,Construction
80,03:45,04:00,3,Construction
81,04:00,04:15,3,Construction
82,04:15,04:30,3,Construction
83,04:30,04:45,3,Construction
84,04:45,05:00,3,Construction
85,05:00,05:15,0,Travel
86,05:15,05:30,1,Grid
87,05:30,05:45,1,Grid
88,05:45,06:00,1,Grid
89,06:00,06:15,1,Grid
90,06:15,06:30,1,Grid
91,06:30,06:45,1,Grid
92,06:45,07:00,1,Grid
93,07:00,07:15,1,Grid
94,07:15,07:30,1,Grid
95,07:30,07:45,1,Grid
96,07:45,08:00,1,Grid
