Time_Period,Time_Start_Label,Time_End_Label,Grid_Energy_kWh,Energy_Cost_USD,CO2_Emissions_kg,Cumulative_Energy_Cost_USD,Cumulative_CO2_Emissions_kg
1,08:00,08:15,0.0,0.0,0.0,0.0,0.0
2,08:15,08:30,0.0,0.0,0.0,0.0,0.0
3,08:30,08:45,0.0,0.0,0.0,0.0,0.0
4,08:45,09:00,0.0,0.0,0.0,0.0,0.0
5,09:00,09:15,0.0,0.0,0.0,0.0,0.0
6,09:15,09:30,0.0,0.0,0.0,0.0,0.0
7,09:30,09:45,0.0,0.0,0.0,0.0,0.0
8,09:45,10:00,0.0,0.0,0.0,0.0,0.0
9,10:00,10:15,0.0,0.0,0.0,0.0,0.0
10,10:15,10:30,0.0,0.0,0.0,0.0,0.0
11,10:30,10:45,0.0,0.0,0.0,0.0,0.0
12,10:45,11:00,0.0,0.0,0.0,0.0,0.0
13,11:00,11:15,0.0,0.0,0.0,0.0,0.0
14,11:15,11:30,0.0,0.0,0.0,0.0,0.0
15,11:30,11:45,0.0,0.0,0.0,0.0,0.0
16,11:45,12:00,0.0,0.0,0.0,0.0,0.0
17,12:00,12:15,0.0,0.0,0.0,0.0,0.0
18,12:15,12:30,0.0,0.0,0.0,0.0,0.0
19,12:30,12:45,2.5908022306458633,0.6761993821985703,0.36832434745270765,0.6761993821985703,0.36832434745270765
20,12:45,13:00,-0.0,-0.0,-0.0,0.6761993821985703,0.36832434745270765
21,13:00,13:15,-0.0,-0.0,-0.0,0.6761993821985703,0.36832434745270765
22,13:15,13:30,-0.0,-0.0,-0.0,0.6761993821985703,0.36832434745270765
23,13:30,13:45,0.0,0.0,0.0,0.6761993821985703,0.36832434745270765
24,13:45,14:00,-0.0,-0.0,-0.0,0.6761993821985703,0.36832434745270765
25,14:00,14:15,-0.0,-0.0,-0.0,0.6761993821985703,0.36832434745270765
26,14:15,14:30,0.0,0.0,0.0,0.6761993821985703,0.36832434745270765
27,14:30,14:45,-0.0,-0.0,-0.0,0.6761993821985703,0.36832434745270765
28,14:45,15:00,-0.0,-0.0,-0.0,0.6761993821985703,0.36832434745270765
29,15:00,15:15,0.0,0.0,0.0,0.6761993821985703,0.36832434745270765
30,15:15,15:30,-0.0,-0.0,-0.0,0.6761993821985703,0.36832434745270765
31,15:30,15:45,0.0,0.0,0.0,0.6761993821985703,0.36832434745270765
32,15:45,16:00,0.0,0.0,0.0,0.6761993821985703,0.36832434745270765
33,16:00,16:15,-0.0,-0.0,-0.0,0.6761993821985703,0.36832434745270765
34,16:15,16:30,0.0,0.0,0.0,0.6761993821985703,0.36832434745270765
35,16:30,16:45,0.0,0.0,0.0,0.6761993821985703,0.36832434745270765
36,16:45,17:00,0.0,0.0,0.0,0.6761993821985703,0.36832434745270765
37,17:00,17:15,-0.0,-0.0,-0.0,0.6761993821985703,0.36832434745270765
38,17:15,17:30,-0.0,-0.0,-0.0,0.6761993821985703,0.36832434745270765
39,17:30,17:45,-0.0,-0.0,-0.0,0.6761993821985703,0.36832434745270765
40,17:45,18:00,-0.0,-0.0,-0.0,0.6761993821985703,0.36832434745270765
41,18:00,18:15,0.0,0.0,0.0,0.6761993821985703,0.36832434745270765
42,18:15,18:30,0.0,0.0,0.0,0.6761993821985703,0.36832434745270765
43,18:30,18:45,0.0,0.0,0.0,0.6761993821985703,0.36832434745270765
44,18:45,19:00,-0.0,-0.0,-0.0,0.6761993821985703,0.36832434745270765
45,19:00,19:15,7.8125,4.8984375,1.3355857421875001,5.57463688219857,1.7039100896402077
46,19:15,19:30,0.0,0.0,0.0,5.57463688219857,1.7039100896402077
47,19:30,19:45,0.0,0.0,0.0,5.57463688219857,1.7039100896402077
48,19:45,20:00,-0.0,-0.0,-0.0,5.57463688219857,1.7039100896402077
49,20:00,20:15,-0.0,-0.0,-0.0,5.57463688219857,1.7039100896402077
50,20:15,20:30,-0.0,-0.0,-0.0,5.57463688219857,1.7039100896402077
51,20:30,20:45,-0.0,-0.0,-0.0,5.57463688219857,1.7039100896402077
