var,e,i,a,k,value
u,1,2,1,1,1
u,1,2,1,2,1
u,1,2,1,3,1
u,1,2,1,4,1
u,1,2,1,7,1
u,1,2,1,8,1
u,1,2,1,9,1
u,1,2,1,11,1
u,1,2,1,26,1
u,1,2,1,28,1
u,1,2,1,30,1
u,1,2,1,32,1
u,1,2,2,27,1
u,1,2,2,33,1
u,1,2,2,35,1
u,1,2,2,36,1
u,1,2,3,6,1
u,1,2,3,25,1
u,1,2,3,31,1
u,2,3,1,1,1
u,2,3,1,3,1
u,2,3,1,4,1
u,2,3,1,7,1
u,2,3,1,13,1
u,2,3,1,32,1
u,2,3,1,33,1
u,2,3,2,2,1
u,2,3,2,8,1
u,2,3,2,9,1
u,2,3,2,11,1
u,2,3,2,34,1
u,2,3,3,6,1
u,2,3,3,12,1
mu,1,2,0,12,1
mu,1,2,0,13,1
mu,1,2,0,14,1
mu,1,2,0,15,1
mu,1,2,0,16,1
mu,1,2,0,17,1
mu,1,2,0,48,1
mu,1,2,0,49,1
mu,1,2,0,50,1
mu,1,2,0,51,1
mu,1,2,0,52,1
mu,1,2,0,53,1
mu,2,3,0,24,1
mu,2,3,0,25,1
mu,2,3,0,26,1
mu,2,3,0,27,1
mu,2,3,0,28,1
mu,2,3,0,29,1
mu,2,3,0,30,1
mu,2,3,0,31,1
mu,2,3,0,35,1
mu,2,3,0,36,1
mu,2,3,0,37,1
mu,2,3,0,38,1
mu,2,3,0,39,1
mu,2,3,0,40,1
mu,2,3,0,41,1
mu,2,3,0,42,1
mu,2,3,0,43,1
