Time_Interval,Time_Period,Start_Time_Label,End_Time_Label,Time_Label,MCS_1_Charging_kW,MCS_1_Discharging_kW,MCS_1_Traveling_kW,MCS_1_NetPower_kW,MCS_1_SOE_Start_kWh,MCS_1_SOE_End_kWh,MCS_1_sum_x,MCS_1_sum_y_trv,MCS_1_sum_z,MCS_2_Charging_kW,MCS_2_Discharging_kW,MCS_2_Traveling_kW,MCS_2_NetPower_kW,MCS_2_SOE_Start_kWh,MCS_2_SOE_End_kWh,MCS_2_sum_x,MCS_2_sum_y_trv,MCS_2_sum_z,CEV_1_Charging_kW,CEV_1_Working_kW,CEV_1_NetPower_kW,CEV_1_SOE_Start_kWh,CEV_1_SOE_End_kWh,CEV_2_Charging_kW,CEV_2_Working_kW,CEV_2_NetPower_kW,CEV_2_SOE_Start_kWh,CEV_2_SOE_End_kWh,CEV_3_Charging_kW,CEV_3_Working_kW,CEV_3_NetPower_kW,CEV_3_SOE_Start_kWh,CEV_3_SOE_End_kWh,CEV_4_Charging_kW,CEV_4_Working_kW,CEV_4_NetPower_kW,CEV_4_SOE_Start_kWh,CEV_4_SOE_End_kWh
1,1,08:00,08:15,08:15,0.0,0.0,0,0.0,250.0,250.0,1.0,1.0,0.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,14.8,13.607500000000002,0.0,4.77,-4.77,14.8,13.607500000000002,0.0,3.18,-3.18,14.8,14.005,0.0,4.77,-4.77,14.8,13.607500000000002
2,2,08:15,08:30,08:30,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,13.607500000000002,12.415000000000003,0.0,4.77,-4.77,13.607500000000002,12.415000000000003,0.0,4.77,-4.77,14.005,12.8125,0.0,4.77,-4.77,13.607500000000002,12.415000000000003
3,3,08:30,08:45,08:45,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,12.415000000000003,11.222500000000004,0.0,3.18,-3.18,12.415000000000003,11.620000000000003,0.0,4.77,-4.77,12.8125,11.620000000000001,0.0,3.18,-3.18,12.415000000000003,11.620000000000003
4,4,08:45,09:00,09:00,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,11.222500000000004,10.030000000000005,0.0,4.77,-4.77,11.620000000000003,10.427500000000002,0.0,4.77,-4.77,11.620000000000001,10.427500000000002,0.0,4.77,-4.77,11.620000000000003,10.427500000000002
5,5,09:00,09:15,09:15,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0.0,10.030000000000005,10.030000000000005,0.0,0.0,0.0,10.427500000000002,10.427500000000002,0.0,0.0,0.0,10.427500000000002,10.427500000000002,0.0,0.0,0.0,10.427500000000002,10.427500000000002
6,6,09:15,09:30,09:30,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.72,-4.72,10.030000000000005,8.850000000000005,0.0,4.72,-4.72,10.427500000000002,9.247500000000002,0.0,4.72,-4.72,10.427500000000002,9.247500000000002,0.0,4.72,-4.72,10.427500000000002,9.247500000000002
7,7,09:30,09:45,09:45,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,3.18,-3.18,8.850000000000005,8.055000000000005,0.0,4.77,-4.77,9.247500000000002,8.055000000000003,0.0,3.18,-3.18,9.247500000000002,8.452500000000002,0.0,3.18,-3.18,9.247500000000002,8.452500000000002
8,8,09:45,10:00,10:00,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,3.18,-3.18,8.055000000000005,7.260000000000005,0.0,4.77,-4.77,8.055000000000003,6.862500000000003,0.0,3.18,-3.18,8.452500000000002,7.657500000000002,0.0,3.18,-3.18,8.452500000000002,7.657500000000002
9,9,10:00,10:15,10:15,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,1.0,1.0,0.0,0.0,3.18,-3.18,7.260000000000005,6.465000000000005,0.0,4.77,-4.77,6.862500000000003,5.6700000000000035,0.0,4.77,-4.77,7.657500000000002,6.4650000000000025,0.0,4.77,-4.77,7.657500000000002,6.4650000000000025
10,10,10:15,10:30,10:30,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0.0,6.465000000000005,6.465000000000005,0.0,0.0,0.0,5.6700000000000035,5.6700000000000035,0.0,0.0,0.0,6.4650000000000025,6.4650000000000025,0.0,0.0,0.0,6.4650000000000025,6.4650000000000025
