Time_Period,Time_Start_Label,Time_End_Label,Total_Charging_Power_kW,Total_Discharging_Power_kW,Net_Power_kW
1,08:00,08:15,0.0,0.0,0.0
2,08:15,08:30,0.0,0.0,0.0
3,08:30,08:45,0.0,0.0,0.0
4,08:45,09:00,0.0,0.0,0.0
5,09:00,09:15,0.0,31.999999999999915,-31.999999999999915
6,09:15,09:30,0.0,0.0,0.0
7,09:30,09:45,-2.7533531010703882e-14,0.0,-2.7533531010703882e-14
8,09:45,10:00,-2.7533531010703882e-14,0.0,-2.7533531010703882e-14
9,10:00,10:15,-2.886579864025407e-14,0.0,-2.886579864025407e-14
10,10:15,10:30,-3.019806626980426e-14,32.0,-32.00000000000003
11,10:30,10:45,-2.842170943040401e-14,0.0,-2.842170943040401e-14
12,10:45,11:00,-3.1530333899354446e-14,24.0,-24.000000000000032
13,11:00,11:15,-3.197442310920451e-14,24.00000000000022,-24.000000000000252
14,11:15,11:30,-3.064215547965432e-14,32.0,-32.00000000000003
15,11:30,11:45,-6.93056723122254e-14,11.694736842104973,-11.694736842105042
16,11:45,12:00,-0.0,1.4551063408128097e-13,-1.4551063408128097e-13
17,12:00,12:15,3.240511250425202,8.0,-4.759488749574798
18,12:15,12:30,3.240511250425202,8.0,-4.759488749574798
19,12:30,12:45,3.240511250425202,0.43157894736891933,2.8089323030562827
20,12:45,13:00,3.240511250425202,0.0,3.240511250425202
21,13:00,13:15,3.240511250425202,0.0,3.240511250425202
22,13:15,13:30,3.240511250425202,0.0,3.240511250425202
23,13:30,13:45,3.240511250425202,0.0,3.240511250425202
24,13:45,14:00,3.240511250425202,0.0,3.240511250425202
25,14:00,14:15,3.240511250425202,0.0,3.240511250425202
26,14:15,14:30,3.240511250425202,0.0,3.240511250425202
27,14:30,14:45,3.240511250425202,0.0,3.240511250425202
28,14:45,15:00,3.240511250425202,0.0,3.240511250425202
29,15:00,15:15,3.240511250425202,0.0,3.240511250425202
30,15:15,15:30,3.240511250425202,0.0,3.240511250425202
31,15:30,15:45,3.2405112504252096,3.3473684210526278,-0.10685717062741817
32,15:45,16:00,3.2405112504252083,0.0,3.2405112504252083
33,16:00,16:15,0.0,0.0,0.0
34,16:15,16:30,0.0,0.0,0.0
35,16:30,16:45,0.0,0.0,0.0
36,16:45,17:00,0.0,0.0,0.0
37,17:00,17:15,0.0,0.0,0.0
38,17:15,17:30,0.0,0.0,0.0
39,17:30,17:45,0.0,0.0,0.0
40,17:45,18:00,0.0,0.0,0.0
