Time_Period,Time_Label,MCS_1_SOE_kWh,MCS_1_Max_SOE_kWh,MCS_1_Min_SOE_kWh,MCS_2_SOE_kWh,MCS_2_Max_SOE_kWh,MCS_2_Min_SOE_kWh
1,08:00,250.0,250.0,50.0,250.0,250.0,50.0
2,08:15,250.0,250.0,50.0,250.0,250.0,50.0
3,08:30,250.0,250.0,50.0,250.0,250.0,50.0
4,08:45,250.0,250.0,50.0,250.0,250.0,50.0
5,09:00,250.0,250.0,50.0,250.0,250.0,50.0
6,09:15,245.78947368421052,250.0,50.0,245.78947368421055,250.0,50.0
7,09:30,245.78947368421052,250.0,50.0,245.78947368421055,250.0,50.0
8,09:45,245.78947368421052,250.0,50.0,245.78947368421055,250.0,50.0
9,10:00,245.78947368421052,250.0,50.0,245.78947368421055,250.0,50.0
10,10:15,245.78947368421052,250.0,50.0,245.78947368421055,250.0,50.0
11,10:30,241.57894736842104,250.0,50.0,241.57894736842107,250.0,50.0
12,10:45,241.57894736842104,250.0,50.0,241.57894736842107,250.0,50.0
13,11:00,239.4736842105263,250.0,50.0,237.3684210526316,250.0,50.0
14,11:15,237.36842105263156,250.0,50.0,233.15789473684205,250.0,50.0
15,11:30,233.15789473684208,250.0,50.0,228.94736842105257,250.0,50.0
16,11:45,230.14127423822714,250.0,50.0,228.88642659279776,250.0,50.0
17,12:00,230.1412742382271,250.0,50.0,228.88642659279776,250.0,50.0
18,12:15,228.03601108033237,250.0,50.0,229.65604801477375,250.0,50.0
19,12:30,225.93074792243803,250.0,50.0,230.42566943674973,250.0,50.0
20,12:45,225.81717451523568,250.0,50.0,231.1952908587262,250.0,50.0
21,13:00,225.81717451523568,250.0,50.0,231.96491228070218,250.0,50.0
22,13:15,225.81717451523568,250.0,50.0,232.73453370267816,250.0,50.0
23,13:30,225.81717451523568,250.0,50.0,233.50415512465415,250.0,50.0
24,13:45,225.81717451523568,250.0,50.0,234.27377654663013,250.0,50.0
25,14:00,225.81717451523568,250.0,50.0,235.04339796860612,250.0,50.0
26,14:15,225.81717451523568,250.0,50.0,235.8130193905821,250.0,50.0
27,14:30,225.81717451523568,250.0,50.0,236.58264081255808,250.0,50.0
28,14:45,225.81717451523568,250.0,50.0,237.35226223453407,250.0,50.0
29,15:00,225.81717451523568,250.0,50.0,238.12188365651005,250.0,50.0
30,15:15,225.81717451523568,250.0,50.0,238.89150507848603,250.0,50.0
31,15:30,225.81717451523568,250.0,50.0,239.66112650046202,250.0,50.0
32,15:45,224.9362880886429,250.0,50.0,240.430747922438,250.0,50.0
33,16:00,224.9362880886429,250.0,50.0,241.20036934441404,250.0,50.0
34,16:15,224.9362880886429,250.0,50.0,241.20036934441404,250.0,50.0
35,16:30,224.9362880886429,250.0,50.0,241.20036934441404,250.0,50.0
36,16:45,224.9362880886429,250.0,50.0,241.20036934441404,250.0,50.0
37,17:00,224.9362880886429,250.0,50.0,241.20036934441404,250.0,50.0
38,17:15,224.9362880886429,250.0,50.0,241.20036934441404,250.0,50.0
39,17:30,224.9362880886429,250.0,50.0,241.20036934441404,250.0,50.0
40,17:45,224.9362880886429,250.0,50.0,241.20036934441404,250.0,50.0
41,18:00,224.9362880886429,250.0,50.0,241.20036934441404,250.0,50.0
42,18:15,224.9362880886429,250.0,50.0,241.20036934441404,250.0,50.0
43,18:30,224.9362880886429,250.0,50.0,241.20036934441404,250.0,50.0
44,18:45,224.9362880886429,250.0,50.0,241.20036934441404,250.0,50.0
45,19:00,224.9362880886429,250.0,50.0,241.20036934441404,250.0,50.0
