src,nodes,in_queue,leaves,explored_pct,best_bound,best_sol,gap_pct,cuts,in_lp,confl,lp_iters,time_s
,0,0,0,0.0,1000.0,Inf,Inf,0,0,0,0,0.5
,0,0,0,0.0,1075.680597,Inf,Inf,0,0,7,1494,0.6
L,0,0,0,0.0,1076.269835,1115.647376,3.53,598,32,208,2949,5.7
,0,0,0,0.0,1076.269835,1115.647376,3.53,23,0,0,11918,5.9
,0,0,0,0.0,1076.269835,1115.647376,3.53,23,21,9,13538,6.1
L,0,0,0,0.0,1079.07235,1101.313107,2.02,2869,76,9,16222,9.0
,0,0,0,0.0,1079.07235,1101.313107,2.02,2869,16,9,29047,14.1
,43,1,1,0.0,1079.07235,1101.313107,2.02,2870,16,90,134852,30.0
L,103,24,27,0.05,1079.07235,1101.313107,2.02,3307,25,868,142397,38.2
,185,35,59,11.19,1079.07235,1101.313107,2.02,3360,25,2100,172439,43.2
,215,26,73,12.42,1079.07235,1101.313107,2.02,7420,84,2278,184507,48.3
,310,39,117,13.54,1081.822905,1101.313107,1.77,7980,35,3044,199754,53.9
,387,40,149,19.84,1081.822905,1101.313107,1.77,9362,69,3593,213294,59.0
,450,43,181,23.65,1082.221062,1101.313107,1.73,8443,41,4032,224831,64.0
,493,43,200,25.24,1082.221062,1101.313107,1.73,9630,83,4315,237618,69.1
,559,44,232,32.96,1082.912601,1101.313107,1.67,9505,104,4685,255433,74.6
,609,46,253,35.02,1082.912601,1101.313107,1.67,9036,88,5021,267718,79.7
,638,46,269,35.98,1082.912601,1101.313107,1.67,9044,51,5531,280606,85.0
,659,44,277,42.06,1082.917737,1101.313107,1.67,8401,87,5741,296285,90.2
,698,46,294,46.76,1082.917737,1101.313107,1.67,8433,87,6108,314157,95.7
,719,47,306,47.04,1082.917737,1101.313107,1.67,8450,87,6300,328190,100.8
,764,51,324,47.43,1082.917737,1101.313107,1.67,8212,107,6542,342728,105.8
,781,45,337,49.75,1082.917737,1101.313107,1.67,9120,80,6728,356100,111.9
,826,47,356,50.89,1082.917737,1101.313107,1.67,9144,80,7232,370149,117.0
,874,53,377,53.35,1082.917737,1101.313107,1.67,9178,80,7630,385762,122.4
,893,46,391,54.96,1082.997024,1101.313107,1.66,8898,118,7747,401593,128.2
,968,46,424,56.84,1082.997024,1101.313107,1.66,8750,50,8334,414897,133.5
,1016,49,447,59.35,1082.997024,1101.313107,1.66,8796,63,8933,429095,138.5
,1054,50,465,60.34,1082.997024,1101.313107,1.66,7448,101,9244,441818,143.6
,1085,49,479,60.87,1082.997024,1101.313107,1.66,7859,95,9380,454672,148.7
,1136,51,503,64.32,1082.997024,1101.313107,1.66,7909,95,7901,466388,153.8
,1195,60,528,66.27,1082.997024,1101.313107,1.66,7990,95,8295,481052,159.2
,1212,57,536,66.7,1082.997024,1101.313107,1.66,8233,94,8427,494309,164.6
