Time_Period,Time_Start_Label,Time_End_Label,Site_2_Work_Power_kW,Site_3_Work_Power_kW,Total_Work_Power_kW
1,08:00,08:15,9.540000000000001,9.540000000000001,19.080000000000002
2,08:15,08:30,9.54,9.54,19.08
3,08:30,08:45,4.77,9.54,14.309999999999999
4,08:45,09:00,9.54,9.54,19.08
5,09:00,09:15,0.0,0.0,0.0
6,09:15,09:30,4.77,9.44,14.209999999999997
7,09:30,09:45,1.2681411476478388e-13,9.54,9.540000000000127
8,09:45,10:00,9.439999999999873,7.949999999999999,17.389999999999873
9,10:00,10:15,7.949999999999999,6.36,14.309999999999999
10,10:15,10:30,3.18,0.0,3.18
11,10:30,10:45,9.54,7.949999999999999,17.49
12,10:45,11:00,3.18,4.72,7.9
13,11:00,11:15,3.18,3.18,6.36
14,11:15,11:30,3.18,3.18,6.36
15,11:30,11:45,4.72,0.0,4.72
16,11:45,12:00,0.0,0.0,0.0
17,12:00,12:15,0.0,0.0,0.0
18,12:15,12:30,0.0,0.0,0.0
19,12:30,12:45,0.0,0.0,0.0
20,12:45,13:00,0.0,0.0,0.0
21,13:00,13:15,0.0,0.0,0.0
22,13:15,13:30,0.0,0.0,0.0
23,13:30,13:45,0.0,0.0,0.0
24,13:45,14:00,0.0,0.0,0.0
25,14:00,14:15,0.0,0.0,0.0
26,14:15,14:30,0.0,0.0,0.0
27,14:30,14:45,0.0,0.0,0.0
28,14:45,15:00,0.0,0.0,0.0
29,15:00,15:15,0.0,0.0,0.0
30,15:15,15:30,4.77,0.0,4.77
31,15:30,15:45,0.0,0.0,0.0
32,15:45,16:00,0.0,0.0,0.0
33,16:00,16:15,0.0,0.0,0.0
34,16:15,16:30,0.0,0.0,0.0
35,16:30,16:45,3.18,0.0,3.18
36,16:45,17:00,0.0,0.0,0.0
37,17:00,17:15,0.0,0.0,0.0
38,17:15,17:30,0.0,0.0,0.0
39,17:30,17:45,0.0,0.0,0.0
40,17:45,18:00,0.0,0.0,0.0
41,18:00,18:15,0.0,0.0,0.0
42,18:15,18:30,0.0,0.0,0.0
43,18:30,18:45,0.0,0.0,0.0
44,18:45,19:00,0.0,0.0,0.0
45,19:00,19:15,0.0,0.0,0.0
46,19:15,19:30,0.0,0.0,0.0
47,19:30,19:45,0.0,0.0,0.0
48,19:45,20:00,0.0,0.0,0.0
49,20:00,20:15,0.0,0.0,0.0
50,20:15,20:30,0.0,0.0,0.0
51,20:30,20:45,0.0,0.0,0.0
52,20:45,21:00,0.0,0.0,0.0
53,21:00,21:15,0.0,0.0,0.0
54,21:15,21:30,0.0,0.0,0.0
55,21:30,21:45,0.0,0.0,0.0
56,21:45,22:00,0.0,0.0,0.0
57,22:00,22:15,0.0,0.0,0.0
58,22:15,22:30,0.0,0.0,0.0
59,22:30,22:45,0.0,0.0,0.0
60,22:45,23:00,0.0,0.0,0.0
61,23:00,23:15,0.0,0.0,0.0
62,23:15,23:30,0.0,0.0,0.0
63,23:30,23:45,0.0,0.0,0.0
64,23:45,00:00,0.0,0.0,0.0
65,00:00,00:15,0.0,0.0,0.0
66,00:15,00:30,0.0,0.0,0.0
67,00:30,00:45,0.0,0.0,0.0
68,00:45,01:00,0.0,0.0,0.0
69,01:00,01:15,0.0,0.0,0.0
70,01:15,01:30,0.0,0.0,0.0
71,01:30,01:45,0.0,0.0,0.0
72,01:45,02:00,0.0,0.0,0.0
73,02:00,02:15,0.0,0.0,0.0
74,02:15,02:30,0.0,0.0,0.0
75,02:30,02:45,0.0,0.0,0.0
76,02:45,03:00,0.0,0.0,0.0
77,03:00,03:15,0.0,0.0,0.0
78,03:15,03:30,0.0,0.0,0.0
79,03:30,03:45,0.0,0.0,0.0
80,03:45,04:00,0.0,0.0,0.0
81,04:00,04:15,0.0,0.0,0.0
82,04:15,04:30,0.0,0.0,0.0
83,04:30,04:45,0.0,0.0,0.0
84,04:45,05:00,0.0,0.0,0.0
85,05:00,05:15,0.0,0.0,0.0
86,05:15,05:30,0.0,0.0,0.0
87,05:30,05:45,0.0,0.0,0.0
88,05:45,06:00,0.0,0.0,0.0
89,06:00,06:15,0.0,0.0,0.0
90,06:15,06:30,0.0,0.0,0.0
91,06:30,06:45,0.0,0.0,0.0
92,06:45,07:00,0.0,0.0,0.0
93,07:00,07:15,0.0,0.0,0.0
94,07:15,07:30,0.0,0.0,0.0
95,07:30,07:45,0.0,0.0,0.0
96,07:45,08:00,0.0,0.0,0.0
