Time_Period,Time_Label,CEV_1_SOE_kWh,CEV_1_Max_SOE_kWh,CEV_1_Min_SOE_kWh,CEV_2_SOE_kWh,CEV_2_Max_SOE_kWh,CEV_2_Min_SOE_kWh,CEV_3_SOE_kWh,CEV_3_Max_SOE_kWh,CEV_3_Min_SOE_kWh,CEV_4_SOE_kWh,CEV_4_Max_SOE_kWh,CEV_4_Min_SOE_kWh
1,08:00,14.8,14.8,2.96,14.8,14.8,2.96,14.8,14.8,2.96,14.8,14.8,2.96
2,08:15,13.6075,14.8,2.96,13.6075,14.8,2.96,13.6075,14.8,2.96,13.6075,14.8,2.96
3,08:30,12.415000000000001,14.8,2.96,12.415000000000001,14.8,2.96,12.415000000000001,14.8,2.96,12.415000000000001,14.8,2.96
4,08:45,11.2225,14.8,2.96,14.315,14.8,2.96,11.2225,14.8,2.96,11.2225,14.8,2.96
5,09:00,10.030000000000001,14.8,2.96,13.1225,14.8,2.96,10.030000000000001,14.8,2.96,10.030000000000001,14.8,2.96
6,09:15,11.930000000000001,14.8,2.96,14.092500000000014,14.8,2.96,11.93,14.8,2.96,10.030000000000001,14.8,2.96
7,09:30,12.008823529411803,14.8,2.96,12.900000000000013,14.8,2.96,10.75,14.8,2.96,8.850000000000001,14.8,2.96
8,09:45,13.908823529411757,14.8,2.96,14.799999999999981,14.8,2.96,9.557500000000001,14.8,2.96,7.6575,14.8,2.96
9,10:00,12.728823529411775,14.8,2.96,13.619999999999997,14.8,2.96,8.365,14.8,2.96,6.8625,14.8,2.96
10,10:15,11.536323529411774,14.8,2.96,12.824999999999998,14.8,2.96,7.570000000000002,14.8,2.96,6.067500000000001,14.8,2.96
11,10:30,11.536323529411774,14.8,2.96,12.029999999999998,14.8,2.96,9.470000000000002,14.8,2.96,7.9675,14.8,2.96
12,10:45,10.343823529411775,14.8,2.96,10.837499999999999,14.8,2.96,8.277500000000002,14.8,2.96,7.1725,14.8,2.96
13,11:00,9.548823529411775,14.8,2.96,10.837499999999999,14.8,2.96,10.177500000000002,14.8,2.96,5.992500000000001,14.8,2.96
14,11:15,8.753823529411775,14.8,2.96,10.837499999999999,14.8,2.96,10.177500000000002,14.8,2.96,5.1975,14.8,2.96
15,11:30,8.753823529411775,14.8,2.96,10.042499999999997,14.8,2.96,10.177500000000002,14.8,2.96,4.4025,14.8,2.96
16,11:45,7.573823529411776,14.8,2.96,10.042499999999997,14.8,2.96,10.177500000000002,14.8,2.96,6.3025,14.8,2.96
17,12:00,7.573823529411776,14.8,2.96,10.042499999999997,14.8,2.96,12.077500000000002,14.8,2.96,8.2025,14.8,2.96
18,12:15,7.573823529411776,14.8,2.96,10.042499999999997,14.8,2.96,12.077500000000002,14.8,2.96,9.100000000000001,14.8,2.96
19,12:30,7.573823529411776,14.8,2.96,10.042499999999997,14.8,2.96,12.900000000000002,14.8,2.96,11.000000000000002,14.8,2.96
20,12:45,7.573823529411776,14.8,2.96,10.042499999999997,14.8,2.96,12.900000000000002,14.8,2.96,12.9,14.8,2.96
21,13:00,7.573823529411776,14.8,2.96,10.042499999999997,14.8,2.96,14.800000000000002,14.8,2.96,14.8,14.8,2.96
22,13:15,7.573823529411776,14.8,2.96,10.042499999999997,14.8,2.96,14.800000000000002,14.8,2.96,14.8,14.8,2.96
23,13:30,7.573823529411776,14.8,2.96,10.042499999999997,14.8,2.96,14.800000000000002,14.8,2.96,14.8,14.8,2.96
24,13:45,7.573823529411776,14.8,2.96,10.042499999999997,14.8,2.96,14.8,14.8,2.96,14.8,14.8,2.96
25,14:00,7.573823529411776,14.8,2.96,10.042499999999997,14.8,2.96,14.8,14.8,2.96,14.8,14.8,2.96
26,14:15,7.573823529411776,14.8,2.96,10.042499999999997,14.8,2.96,14.8,14.8,2.96,14.8,14.8,2.96
27,14:30,7.573823529411776,14.8,2.96,10.042499999999997,14.8,2.96,14.8,14.8,2.96,14.8,14.8,2.96
28,14:45,7.573823529411776,14.8,2.96,10.042499999999997,14.8,2.96,14.8,14.8,2.96,14.8,14.8,2.96
29,15:00,7.573823529411776,14.8,2.96,10.042499999999997,14.8,2.96,14.8,14.8,2.96,14.8,14.8,2.96
30,15:15,7.573823529411776,14.8,2.96,10.042499999999997,14.8,2.96,14.8,14.8,2.96,14.8,14.8,2.96
31,15:30,6.381323529411776,14.8,2.96,10.042499999999997,14.8,2.96,14.8,14.8,2.96,14.8,14.8,2.96
