Time_Period,Time_Start_Label,Time_End_Label,MCS_1_Location,MCS_1_Location_Type,MCS_2_Location,MCS_2_Location_Type
1,08:00,08:15,0,Travel,0,Travel
2,08:15,08:30,3,Construction,2,Construction
3,08:30,08:45,3,Construction,2,Construction
4,08:45,09:00,3,Construction,2,Construction
5,09:00,09:15,3,Construction,2,Construction
6,09:15,09:30,3,Construction,2,Construction
7,09:30,09:45,3,Construction,2,Construction
8,09:45,10:00,3,Construction,0,Travel
9,10:00,10:15,3,Construction,1,Grid
10,10:15,10:30,3,Construction,1,Grid
11,10:30,10:45,3,Construction,1,Grid
12,10:45,11:00,3,Construction,1,Grid
13,11:00,11:15,3,Construction,1,Grid
14,11:15,11:30,3,Construction,1,Grid
15,11:30,11:45,3,Construction,1,Grid
16,11:45,12:00,3,Construction,1,Grid
17,12:00,12:15,3,Construction,1,Grid
18,12:15,12:30,3,Construction,1,Grid
19,12:30,12:45,3,Construction,1,Grid
20,12:45,13:00,3,Construction,1,Grid
21,13:00,13:15,0,Travel,1,Grid
22,13:15,13:30,1,Grid,1,Grid
23,13:30,13:45,1,Grid,1,Grid
24,13:45,14:00,1,Grid,1,Grid
25,14:00,14:15,1,Grid,1,Grid
26,14:15,14:30,1,Grid,1,Grid
27,14:30,14:45,1,Grid,1,Grid
28,14:45,15:00,1,Grid,1,Grid
29,15:00,15:15,1,Grid,1,Grid
30,15:15,15:30,1,Grid,1,Grid
31,15:30,15:45,1,Grid,1,Grid
32,15:45,16:00,1,Grid,1,Grid
33,16:00,16:15,1,Grid,1,Grid
34,16:15,16:30,1,Grid,1,Grid
35,16:30,16:45,1,Grid,1,Grid
36,16:45,17:00,1,Grid,1,Grid
37,17:00,17:15,1,Grid,1,Grid
38,17:15,17:30,0,Travel,1,Grid
39,17:30,17:45,2,Construction,1,Grid
40,17:45,18:00,2,Construction,1,Grid
41,18:00,18:15,2,Construction,1,Grid
42,18:15,18:30,2,Construction,1,Grid
43,18:30,18:45,2,Construction,1,Grid
44,18:45,19:00,2,Construction,1,Grid
45,19:00,19:15,2,Construction,1,Grid
46,19:15,19:30,2,Construction,1,Grid
47,19:30,19:45,2,Construction,1,Grid
48,19:45,20:00,2,Construction,1,Grid
49,20:00,20:15,0,Travel,1,Grid
50,20:15,20:30,1,Grid,1,Grid
51,20:30,20:45,1,Grid,1,Grid
52,20:45,21:00,1,Grid,1,Grid
53,21:00,21:15,1,Grid,1,Grid
54,21:15,21:30,1,Grid,1,Grid
55,21:30,21:45,1,Grid,1,Grid
56,21:45,22:00,1,Grid,1,Grid
57,22:00,22:15,1,Grid,1,Grid
58,22:15,22:30,1,Grid,1,Grid
59,22:30,22:45,1,Grid,1,Grid
60,22:45,23:00,1,Grid,1,Grid
61,23:00,23:15,1,Grid,1,Grid
62,23:15,23:30,1,Grid,1,Grid
63,23:30,23:45,1,Grid,1,Grid
64,23:45,00:00,1,Grid,1,Grid
65,00:00,00:15,1,Grid,1,Grid
66,00:15,00:30,1,Grid,1,Grid
67,00:30,00:45,1,Grid,1,Grid
68,00:45,01:00,1,Grid,1,Grid
69,01:00,01:15,1,Grid,1,Grid
70,01:15,01:30,1,Grid,1,Grid
71,01:30,01:45,1,Grid,1,Grid
72,01:45,02:00,1,Grid,1,Grid
73,02:00,02:15,1,Grid,1,Grid
74,02:15,02:30,1,Grid,1,Grid
75,02:30,02:45,1,Grid,1,Grid
76,02:45,03:00,1,Grid,1,Grid
77,03:00,03:15,1,Grid,1,Grid
78,03:15,03:30,1,Grid,1,Grid
79,03:30,03:45,1,Grid,1,Grid
80,03:45,04:00,1,Grid,1,Grid
81,04:00,04:15,1,Grid,1,Grid
82,04:15,04:30,1,Grid,1,Grid
83,04:30,04:45,1,Grid,1,Grid
84,04:45,05:00,1,Grid,1,Grid
85,05:00,05:15,1,Grid,1,Grid
86,05:15,05:30,1,Grid,1,Grid
87,05:30,05:45,1,Grid,1,Grid
88,05:45,06:00,1,Grid,1,Grid
89,06:00,06:15,1,Grid,1,Grid
90,06:15,06:30,1,Grid,1,Grid
91,06:30,06:45,1,Grid,1,Grid
92,06:45,07:00,1,Grid,1,Grid
93,07:00,07:15,1,Grid,1,Grid
94,07:15,07:30,1,Grid,1,Grid
95,07:30,07:45,1,Grid,1,Grid
96,07:45,08:00,1,Grid,1,Grid
