Time_Interval,Time_Period,Start_Time_Label,End_Time_Label,Time_Label,MCS_1_Charging_kW,MCS_1_Discharging_kW,MCS_1_Traveling_kW,MCS_1_NetPower_kW,MCS_1_SOE_Start_kWh,MCS_1_SOE_End_kWh,MCS_1_sum_x,MCS_1_sum_y_trv,MCS_1_sum_z,MCS_2_Charging_kW,MCS_2_Discharging_kW,MCS_2_Traveling_kW,MCS_2_NetPower_kW,MCS_2_SOE_Start_kWh,MCS_2_SOE_End_kWh,MCS_2_sum_x,MCS_2_sum_y_trv,MCS_2_sum_z,CEV_1_Charging_kW,CEV_1_Working_kW,CEV_1_NetPower_kW,CEV_1_SOE_Start_kWh,CEV_1_SOE_End_kWh,CEV_2_Charging_kW,CEV_2_Working_kW,CEV_2_NetPower_kW,CEV_2_SOE_Start_kWh,CEV_2_SOE_End_kWh,CEV_3_Charging_kW,CEV_3_Working_kW,CEV_3_NetPower_kW,CEV_3_SOE_Start_kWh,CEV_3_SOE_End_kWh,CEV_4_Charging_kW,CEV_4_Working_kW,CEV_4_NetPower_kW,CEV_4_SOE_Start_kWh,CEV_4_SOE_End_kWh
1,1,08:00,08:15,08:15,0.0,0.0,0,0.0,250.0,250.0,1.0,1.0,0.0,0.0,0.0,0,0.0,250.0,250.0,1.0,1.0,0.0,0.0,4.7700000000000005,-4.7700000000000005,14.8,13.6075,0.0,4.7700000000000005,-4.7700000000000005,14.8,13.6075,0.0,4.7700000000000005,-4.7700000000000005,14.8,13.6075,0.0,4.7700000000000005,-4.7700000000000005,14.8,13.6075
2,2,08:15,08:30,08:30,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,13.6075,12.415000000000001,0.0,4.77,-4.77,13.6075,12.415000000000001,0.0,4.77,-4.77,13.6075,12.415000000000001,0.0,4.77,-4.77,13.6075,12.415000000000001
3,3,08:30,08:45,08:45,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,8.0,0,-8.0,250.0,247.89473684210526,0.0,0.0,1.0,0.0,4.77,-4.77,12.415000000000001,11.2225,8.0,0.0,8.0,12.415000000000001,14.315,0.0,4.77,-4.77,12.415000000000001,11.2225,0.0,4.77,-4.77,12.415000000000001,11.2225
4,4,08:45,09:00,09:00,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0,0.0,247.89473684210526,247.89473684210526,0.0,0.0,1.0,0.0,4.77,-4.77,11.2225,10.030000000000001,0.0,4.77,-4.77,14.315,13.1225,0.0,4.77,-4.77,11.2225,10.030000000000001,0.0,4.77,-4.77,11.2225,10.030000000000001
5,5,09:00,09:15,09:15,0.0,8.0,0,-8.0,250.0,247.89473684210526,0.0,0.0,1.0,0.0,12.084210526315847,0,-12.084210526315847,247.89473684210526,244.7146814404432,0.0,0.0,1.0,8.0,0.0,8.0,10.030000000000001,11.930000000000001,4.084210526315846,0.0,4.084210526315846,13.1225,14.092500000000014,8.0,0.0,8.0,10.030000000000001,11.93,0.0,0.0,0.0,10.030000000000001,10.030000000000001
6,6,09:15,09:30,09:30,0.0,0.0,0,0.0,247.89473684210526,247.89473684210526,0.0,0.0,1.0,0.0,0.33188854489179703,0,-0.33188854489179703,244.7146814404432,244.6273423496822,0.0,0.0,1.0,0.33188854489179703,0.0,0.33188854489179703,11.930000000000001,12.008823529411803,0.0,4.77,-4.77,14.092500000000014,12.900000000000013,0.0,4.72,-4.72,11.93,10.75,0.0,4.72,-4.72,10.030000000000001,8.850000000000001
7,7,09:30,09:45,09:45,0.0,0.0,0,0.0,247.89473684210526,247.89473684210526,0.0,0.0,1.0,0.0,15.999999999999785,0,-15.999999999999785,244.6273423496822,240.4168160338928,1.3412251670349061e-14,1.3412251670349061e-14,0.9999999999999866,7.9999999999998925,6.340705738239194e-14,7.9999999999998295,12.008823529411803,13.908823529411757,7.9999999999998925,6.340705738239194e-14,7.9999999999998295,12.900000000000013,14.799999999999981,0.0,4.77,-4.77,10.75,9.557500000000001,0.0,4.77,-4.77,8.850000000000001,7.6575
8,8,09:45,10:00,10:00,0.0,0.0,0,0.0,247.89473684210526,247.89473684210526,0.0,0.0,1.0,-0.0,0.0,0,-0.0,240.4168160338928,240.4168160338928,0.9999999999999866,0.9999999999999866,1.3412251670349061e-14,0.0,4.719999999999937,-4.719999999999937,13.908823529411757,12.728823529411775,0.0,4.719999999999937,-4.719999999999937,14.799999999999981,13.619999999999997,0.0,4.77,-4.77,9.557500000000001,8.365,0.0,3.18,-3.18,7.6575,6.8625
9,9,10:00,10:15,10:15,0.0,0.0,0,0.0,247.89473684210526,247.89473684210526,0.0,0.0,1.0,3.1038652521804724,0.0,0,3.1038652521804724,240.4168160338928,241.15398403128563,0.0,0.0,1.0,0.0,4.77,-4.77,12.728823529411775,11.536323529411774,0.0,3.18,-3.18,13.619999999999997,12.824999999999998,0.0,3.18,-3.18,8.365,7.570000000000002,0.0,3.18,-3.18,6.8625,6.067500000000001
10,10,10:15,10:30,10:30,0.0,16.0,0,-16.0,247.89473684210526,243.68421052631578,0.0,0.0,1.0,3.1038652521804724,0.0,0,3.1038652521804724,241.15398403128563,241.8911520286785,0.0,0.0,1.0,0.0,0.0,0.0,11.536323529411774,11.536323529411774,0.0,3.18,-3.18,12.824999999999998,12.029999999999998,8.0,0.0,8.0,7.570000000000002,9.470000000000002,8.0,0.0,8.0,6.067500000000001,7.9675
11,11,10:30,10:45,10:45,0.0,0.0,0,0.0,243.68421052631578,243.68421052631578,0.0,0.0,1.0,3.1038652521804724,0.0,0,3.1038652521804724,241.8911520286785,242.62832002607138,0.0,0.0,1.0,0.0,4.77,-4.77,11.536323529411774,10.343823529411775,0.0,4.77,-4.77,12.029999999999998,10.837499999999999,0.0,4.77,-4.77,9.470000000000002,8.277500000000002,0.0,3.18,-3.18,7.9675,7.1725
12,12,10:45,11:00,11:00,0.0,8.0,0,-8.0,243.68421052631578,241.57894736842104,0.0,0.0,1.0,3.1038652521804724,0.0,0,3.1038652521804724,242.62832002607138,243.36548802346425,0.0,0.0,1.0,0.0,3.18,-3.18,10.343823529411775,9.548823529411775,0.0,0.0,0.0,10.837499999999999,10.837499999999999,8.0,0.0,8.0,8.277500000000002,10.177500000000002,0.0,4.72,-4.72,7.1725,5.992500000000001
13,13,11:00,11:15,11:15,0.0,0.0,0,0.0,241.57894736842104,241.57894736842104,0.0,0.0,1.0,3.1038652521804724,0.0,0,3.1038652521804724,243.36548802346425,244.10265602085713,0.0,0.0,1.0,0.0,3.18,-3.18,9.548823529411775,8.753823529411775,0.0,0.0,0.0,10.837499999999999,10.837499999999999,0.0,0.0,0.0,10.177500000000002,10.177500000000002,0.0,3.18,-3.18,5.992500000000001,5.1975
14,14,11:15,11:30,11:30,0.0,0.0,0,0.0,241.57894736842104,241.57894736842104,0.0,0.0,1.0,3.1038652521804724,0.0,0,3.1038652521804724,244.10265602085713,244.83982401824997,0.0,0.0,1.0,0.0,0.0,0.0,8.753823529411775,8.753823529411775,0.0,3.18,-3.18,10.837499999999999,10.042499999999997,0.0,0.0,0.0,10.177500000000002,10.177500000000002,0.0,3.18,-3.18,5.1975,4.4025
15,15,11:30,11:45,11:45,0.0,8.0,0,-8.0,241.57894736842104,239.4736842105263,0.0,0.0,1.0,3.1038652521804724,0.0,0,3.1038652521804724,244.83982401824997,245.57699201564284,0.0,0.0,1.0,0.0,4.72,-4.72,8.753823529411775,7.573823529411776,0.0,0.0,0.0,10.042499999999997,10.042499999999997,0.0,0.0,0.0,10.177500000000002,10.177500000000002,8.0,0.0,8.0,4.4025,6.3025
16,16,11:45,12:00,12:00,0.0,16.0,0,-16.0,239.4736842105263,235.26315789473682,0.0,0.0,1.0,3.1038652521804724,0.0,0,3.1038652521804724,245.57699201564284,246.3141600130357,0.0,0.0,1.0,0.0,0.0,0.0,7.573823529411776,7.573823529411776,0.0,0.0,0.0,10.042499999999997,10.042499999999997,8.0,0.0,8.0,10.177500000000002,12.077500000000002,8.0,0.0,8.0,6.3025,8.2025
17,17,12:00,12:15,12:15,0.0,3.778947368421054,0,-3.778947368421054,235.26315789473682,234.2686980609418,0.0,0.0,1.0,3.1038652521804724,0.0,0,3.1038652521804724,246.3141600130357,247.05132801042856,0.0,0.0,1.0,0.0,0.0,0.0,7.573823529411776,7.573823529411776,0.0,0.0,0.0,10.042499999999997,10.042499999999997,0.0,0.0,0.0,12.077500000000002,12.077500000000002,3.778947368421054,0.0,3.778947368421054,8.2025,9.100000000000001
18,18,12:15,12:30,12:30,0.0,11.463157894736838,0,-11.463157894736838,234.2686980609418,231.25207756232686,0.0,0.0,1.0,3.1038652521804724,0.0,0,3.1038652521804724,247.05132801042856,247.7884960078214,0.0,0.0,1.0,0.0,0.0,0.0,7.573823529411776,7.573823529411776,0.0,0.0,0.0,10.042499999999997,10.042499999999997,3.463157894736838,0.0,3.463157894736838,12.077500000000002,12.900000000000002,8.0,0.0,8.0,9.100000000000001,11.000000000000002
19,19,12:30,12:45,12:45,0.0,8.0,0,-8.0,231.25207756232686,229.14681440443212,0.0,0.0,1.0,3.1038652521804724,0.0,0,3.1038652521804724,247.7884960078214,248.52566400521428,0.0,0.0,1.0,0.0,0.0,0.0,7.573823529411776,7.573823529411776,0.0,0.0,0.0,10.042499999999997,10.042499999999997,0.0,0.0,0.0,12.900000000000002,12.900000000000002,8.0,0.0,8.0,11.000000000000002,12.9
20,20,12:45,13:00,13:00,0.0,16.0,0,-16.0,229.14681440443212,224.93628808864264,0.0,0.0,1.0,3.1038652521804724,0.0,0,3.1038652521804724,248.52566400521428,249.26283200260715,0.0,0.0,1.0,0.0,0.0,0.0,7.573823529411776,7.573823529411776,0.0,0.0,0.0,10.042499999999997,10.042499999999997,8.0,0.0,8.0,12.900000000000002,14.800000000000002,8.0,0.0,8.0,12.9,14.8
21,21,13:00,13:15,13:15,0.0,0.0,0,0.0,224.93628808864264,224.93628808864264,1.0,1.0,0.0,3.1038652521804724,0.0,0,3.1038652521804724,249.26283200260715,250.0,0.0,0.0,1.0,0.0,0.0,0.0,7.573823529411776,7.573823529411776,0.0,0.0,0.0,10.042499999999997,10.042499999999997,0.0,0.0,0.0,14.800000000000002,14.800000000000002,0.0,0.0,0.0,14.8,14.8
22,22,13:15,13:30,13:30,3.1038652521804724,0.0,0,3.1038652521804724,224.93628808864264,225.67345608603551,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0.0,7.573823529411776,7.573823529411776,0.0,0.0,0.0,10.042499999999997,10.042499999999997,0.0,0.0,0.0,14.800000000000002,14.800000000000002,0.0,0.0,0.0,14.8,14.8
23,23,13:30,13:45,13:45,3.1038652521804724,0.0,0,3.1038652521804724,225.67345608603551,226.41062408342836,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0.0,7.573823529411776,7.573823529411776,0.0,0.0,0.0,10.042499999999997,10.042499999999997,0.0,0.0,0.0,14.800000000000002,14.8,0.0,0.0,0.0,14.8,14.8
24,24,13:45,14:00,14:00,3.1038652521804724,0.0,0,3.1038652521804724,226.41062408342836,227.14779208082123,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0.0,7.573823529411776,7.573823529411776,0.0,0.0,0.0,10.042499999999997,10.042499999999997,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
25,25,14:00,14:15,14:15,3.1038652521804724,0.0,0,3.1038652521804724,227.14779208082123,227.8849600782141,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0.0,7.573823529411776,7.573823529411776,0.0,0.0,0.0,10.042499999999997,10.042499999999997,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
26,26,14:15,14:30,14:30,3.1038652521804724,0.0,0,3.1038652521804724,227.8849600782141,228.62212807560692,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0.0,7.573823529411776,7.573823529411776,0.0,0.0,0.0,10.042499999999997,10.042499999999997,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
27,27,14:30,14:45,14:45,3.1038652521804724,0.0,0,3.1038652521804724,228.62212807560692,229.3592960729998,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0.0,7.573823529411776,7.573823529411776,0.0,0.0,0.0,10.042499999999997,10.042499999999997,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
28,28,14:45,15:00,15:00,3.1038652521804724,0.0,0,3.1038652521804724,229.3592960729998,230.09646407039267,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0.0,7.573823529411776,7.573823529411776,0.0,0.0,0.0,10.042499999999997,10.042499999999997,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
29,29,15:00,15:15,15:15,3.1038652521804724,0.0,0,3.1038652521804724,230.09646407039267,230.83363206778554,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0.0,7.573823529411776,7.573823529411776,0.0,0.0,0.0,10.042499999999997,10.042499999999997,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
30,30,15:15,15:30,15:30,3.1038652521804724,0.0,0,3.1038652521804724,230.83363206778554,231.57080006517842,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,7.573823529411776,6.381323529411776,0.0,0.0,0.0,10.042499999999997,10.042499999999997,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
31,31,15:30,15:45,15:45,3.1038652521804724,0.0,0,3.1038652521804724,231.57080006517842,232.3079680625713,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0.0,6.381323529411776,6.381323529411776,0.0,0.0,0.0,10.042499999999997,10.042499999999997,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
32,32,15:45,16:00,16:00,3.1038652521804724,0.0,0,3.1038652521804724,232.3079680625713,233.04513605996416,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0.0,6.381323529411776,6.381323529411774,0.0,0.0,0.0,10.042499999999997,10.042499999999997,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
33,33,16:00,16:15,16:15,-0.0,0.0,0,-0.0,233.04513605996416,233.04513605996416,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0.0,6.381323529411774,6.381323529411774,0.0,0.0,0.0,10.042499999999997,10.042499999999997,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
34,34,16:15,16:30,16:30,-0.0,0.0,0,-0.0,233.04513605996416,233.04513605996416,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0.0,6.381323529411774,6.381323529411774,0.0,0.0,0.0,10.042499999999997,10.042499999999997,0.0,0.0,0.0,14.8,14.8,0.0,0.0,0.0,14.8,14.8
