src,nodes,in_queue,leaves,explored_pct,best_bound,best_sol,gap_pct,cuts,in_lp,confl,lp_iters,time_s
,0,0,0,0.0,0.0,Inf,Inf,0,0,0,0,0.8
,0,0,0,0.0,74.36254961,Inf,Inf,0,0,3,3269,1.2
,0,0,0,0.0,84.1811635,Inf,Inf,3702,79,88,8305,6.5
L,0,0,0,0.0,84.1811635,1125.038697,92.52,3954,86,97,9627,11.8
,0,0,0,0.0,84.32597648,1125.038697,92.5,21,0,0,19205,12.6
,0,0,0,0.0,84.32597648,1125.038697,92.5,21,12,3,21954,13.1
,0,0,0,0.0,85.00463808,1125.038697,92.44,547,64,3,27684,18.7
L,0,0,0,0.0,85.00463808,136.9981114,37.95,573,69,3,28421,24.5
,19,0,1,0.0,85.00472293,136.9981114,37.95,614,21,4,159090,50.9
,140,86,10,0.0,85.00472293,136.9981114,37.95,2071,77,192,170010,55.9
L,206,127,30,0.0,85.08723378,134.0240104,36.51,2557,190,375,172381,64.5
T,257,130,35,0.0,85.08723378,133.4450268,36.24,2565,190,543,200483,67.1
T,291,131,46,0.0,85.08723378,132.1696186,35.62,2577,190,940,208379,69.2
L,306,167,49,0.0,85.08723378,128.4461948,33.76,3043,220,1004,209884,79.1
L,407,175,78,0.0,85.08723378,123.5413627,31.13,4641,220,2219,240319,91.7
L,418,104,83,0.01,85.08723378,114.7407319,25.84,4856,244,2378,258442,100.7
,467,108,98,0.75,85.08723378,114.7407319,25.84,4891,244,2748,295765,105.8
,523,119,120,0.86,85.08723378,114.7407319,25.84,4927,183,3412,315946,116.0
,571,116,142,1.57,85.08723378,114.7407319,25.84,6291,251,4099,343855,125.2
,666,119,191,2.64,86.74069724,114.7407319,24.4,6504,179,4571,355841,130.2
,688,112,198,2.64,86.74069724,114.7407319,24.4,7430,235,4795,375891,136.6
T,724,106,205,2.67,86.74069724,113.6422019,23.67,7448,235,4975,378056,138.0
T,746,98,207,2.69,86.74069724,111.5359697,22.23,7451,235,4979,378328,138.4
,813,113,221,3.36,86.80697234,111.5359697,22.17,7358,87,5297,393816,143.8
,862,123,241,3.5,86.80697234,111.5359697,22.17,7215,116,5910,415408,150.4
,942,129,275,3.66,86.80697234,111.5359697,22.17,7353,185,6323,431546,155.5
,1003,130,306,5.04,86.80697234,111.5359697,22.17,7403,185,7180,449106,160.7
,1049,137,324,5.35,87.00966914,111.5359697,21.99,7623,254,7712,464146,165.8
,1107,143,346,5.38,87.00966914,111.5359697,21.99,7664,254,8332,479588,171.0
,1159,153,367,5.42,87.00966914,111.5359697,21.99,7866,273,9127,493495,176.2
,1253,177,400,5.47,87.00966914,111.5359697,21.99,7780,75,9795,502610,181.3
,1370,193,442,5.49,87.00966914,111.5359697,21.99,7770,92,8259,514245,186.4
,1472,206,486,5.58,87.00966914,111.5359697,21.99,7769,98,9197,527479,192.1
,1508,209,497,5.63,87.00966914,111.5359697,21.99,7917,131,9523,544381,197.1
,1596,223,536,5.65,87.00966914,111.5359697,21.99,7689,162,8868,558981,202.2
,1635,228,547,5.76,87.00966914,111.5359697,21.99,8424,103,9400,578140,207.2
,1761,248,596,5.92,89.82059273,111.5359697,19.47,8504,113,9995,589021,212.2
,1850,259,633,5.93,89.82059273,111.5359697,19.47,8750,103,9887,605919,218.1
,1867,264,637,6.04,89.82059273,111.5359697,19.47,9347,115,9954,625638,223.9
,1984,301,675,6.09,89.82059273,111.5359697,19.47,9772,174,9817,645203,229.9
,1993,299,677,6.19,89.82059273,111.5359697,19.47,8968,346,9872,670928,236.6
,2034,304,695,6.82,89.82059273,111.5359697,19.47,8990,346,9307,687723,241.6
