Time_Period,Time_Label,MCS_1_SOE_kWh,MCS_1_Max_SOE_kWh,MCS_1_Min_SOE_kWh,MCS_2_SOE_kWh,MCS_2_Max_SOE_kWh,MCS_2_Min_SOE_kWh
1,08:00,250.0,250.0,50.0,250.0,250.0,50.0
2,08:15,250.0,250.0,50.0,250.0,250.0,50.0
3,08:30,250.0,250.0,50.0,250.0,250.0,50.0
4,08:45,250.0,250.0,50.0,247.8947368421053,250.0,50.0
5,09:00,250.0,250.0,50.0,247.8947368421053,250.0,50.0
6,09:15,250.0,250.0,50.0,246.81994459833797,250.0,50.0
7,09:30,250.0,250.0,50.0,242.6094182825485,250.0,50.0
8,09:45,250.0,250.0,50.0,239.4293628808864,250.0,50.0
9,10:00,250.0,250.0,50.0,239.4293628808864,250.0,50.0
10,10:15,250.0,250.0,50.0,240.16653087827927,250.0,50.0
11,10:30,250.0,250.0,50.0,240.9036988756721,250.0,50.0
12,10:45,250.0,250.0,50.0,241.64086687306497,250.0,50.0
13,11:00,250.0,250.0,50.0,242.37803487045784,250.0,50.0
14,11:15,250.0,250.0,50.0,243.1152028678507,250.0,50.0
15,11:30,249.00554016620498,250.0,50.0,243.85237086524359,250.0,50.0
16,11:45,245.98891966759004,250.0,50.0,244.58953886263646,250.0,50.0
17,12:00,243.8836565096953,250.0,50.0,245.3267068600293,250.0,50.0
18,12:15,239.67313019390582,250.0,50.0,246.06387485742218,250.0,50.0
19,12:30,235.46260387811634,250.0,50.0,246.80104285481505,250.0,50.0
20,12:45,233.3573407202216,250.0,50.0,247.5382108522079,250.0,50.0
21,13:00,229.14681440443212,250.0,50.0,248.27537884960077,250.0,50.0
22,13:15,224.93628808864267,250.0,50.0,249.01254684699362,250.0,50.0
23,13:30,224.93628808864267,250.0,50.0,249.7497148443865,250.0,50.0
24,13:45,225.67345608603554,250.0,50.0,249.7497148443865,250.0,50.0
25,14:00,226.4106240834284,250.0,50.0,249.7497148443865,250.0,50.0
26,14:15,227.14779208082126,250.0,50.0,249.7497148443865,250.0,50.0
27,14:30,227.88496007821414,250.0,50.0,249.7497148443865,250.0,50.0
28,14:45,228.37184291999347,250.0,50.0,250.0,250.0,50.0
29,15:00,229.10901091738634,250.0,50.0,250.0,250.0,50.0
30,15:15,229.8461789147792,250.0,50.0,250.0,250.0,50.0
31,15:30,230.58334691217206,250.0,50.0,250.0,250.0,50.0
32,15:45,231.32051490956493,250.0,50.0,250.0,250.0,50.0
33,16:00,232.0576829069578,250.0,50.0,250.0,250.0,50.0
34,16:15,232.0576829069578,250.0,50.0,250.0,250.0,50.0
35,16:30,232.0576829069578,250.0,50.0,250.0,250.0,50.0
36,16:45,232.0576829069578,250.0,50.0,250.0,250.0,50.0
37,17:00,232.0576829069578,250.0,50.0,250.0,250.0,50.0
38,17:15,232.0576829069578,250.0,50.0,250.0,250.0,50.0
39,17:30,232.0576829069578,250.0,50.0,250.0,250.0,50.0
40,17:45,232.0576829069578,250.0,50.0,250.0,250.0,50.0
41,18:00,229.95241974906307,250.0,50.0,250.0,250.0,50.0
42,18:15,225.7418934332736,250.0,50.0,250.0,250.0,50.0
43,18:30,225.7418934332736,250.0,50.0,250.0,250.0,50.0
44,18:45,225.7418934332736,250.0,50.0,250.0,250.0,50.0
45,19:00,223.63663027537885,250.0,50.0,250.0,250.0,50.0
46,19:15,221.6948020205312,250.0,50.0,250.0,250.0,50.0
47,19:30,219.58953886263646,250.0,50.0,250.0,250.0,50.0
48,19:45,217.56460811471402,250.0,50.0,250.0,250.0,50.0
