Time_Interval,Time_Period,Start_Time_Label,End_Time_Label,Time_Label,MCS_1_Charging_kW,MCS_1_Discharging_kW,MCS_1_Traveling_kW,MCS_1_NetPower_kW,MCS_1_SOE_Start_kWh,MCS_1_SOE_End_kWh,MCS_1_sum_x,MCS_1_sum_y_trv,MCS_1_sum_z,MCS_2_Charging_kW,MCS_2_Discharging_kW,MCS_2_Traveling_kW,MCS_2_NetPower_kW,MCS_2_SOE_Start_kWh,MCS_2_SOE_End_kWh,MCS_2_sum_x,MCS_2_sum_y_trv,MCS_2_sum_z,CEV_1_Charging_kW,CEV_1_Working_kW,CEV_1_NetPower_kW,CEV_1_SOE_Start_kWh,CEV_1_SOE_End_kWh,CEV_2_Charging_kW,CEV_2_Working_kW,CEV_2_NetPower_kW,CEV_2_SOE_Start_kWh,CEV_2_SOE_End_kWh,CEV_3_Charging_kW,CEV_3_Working_kW,CEV_3_NetPower_kW,CEV_3_SOE_Start_kWh,CEV_3_SOE_End_kWh,CEV_4_Charging_kW,CEV_4_Working_kW,CEV_4_NetPower_kW,CEV_4_SOE_Start_kWh,CEV_4_SOE_End_kWh
1,1,08:00,08:15,08:15,0.0,0.0,0,0.0,250.0,250.0,1.0,1.0,0.0,0.0,0.0,0,0.0,250.0,250.0,1.0,1.0,0.0,0.0,4.7700000000000005,-4.7700000000000005,14.8,13.6075,0.0,4.770000000000007,-4.770000000000007,14.8,13.607499999999998,0.0,4.7700000000000005,-4.7700000000000005,14.8,13.6075,0.0,4.7700000000000005,-4.7700000000000005,14.8,13.6075
2,2,08:15,08:30,08:30,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,13.6075,12.415000000000001,0.0,4.77,-4.77,13.607499999999998,12.414999999999997,0.0,4.77,-4.77,13.6075,12.415000000000001,0.0,4.77,-4.77,13.6075,12.415000000000001
3,3,08:30,08:45,08:45,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,7.999999999999904,0,-7.999999999999904,250.0,247.8947368421053,0.0,0.0,1.0,7.999999999999904,0.0,7.999999999999904,12.415000000000001,14.31499999999997,0.0,4.77,-4.77,12.414999999999997,11.222499999999998,0.0,4.77,-4.77,12.415000000000001,11.2225,0.0,4.77,-4.77,12.415000000000001,11.2225
4,4,08:45,09:00,09:00,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0,0.0,247.8947368421053,247.8947368421053,0.0,0.0,1.0,0.0,4.77,-4.77,14.31499999999997,13.12249999999997,0.0,4.77,-4.77,11.222499999999998,10.030000000000003,0.0,4.77,-4.77,11.2225,10.030000000000001,0.0,4.77,-4.77,11.2225,10.030000000000001
5,5,09:00,09:15,09:15,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.084210526315777,0,-4.084210526315777,247.8947368421053,246.81994459833797,0.0,0.0,1.0,0.0,4.77,-4.77,13.12249999999997,11.929999999999968,4.084210526315777,0.0,4.084210526315777,10.030000000000003,11.0,0.0,0.0,0.0,10.030000000000001,10.030000000000001,0.0,0.0,0.0,10.030000000000001,10.03
6,6,09:15,09:30,09:30,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,16.0,0,-16.0,246.81994459833797,242.6094182825485,0.0,0.0,1.0,8.0,0.0,8.0,11.929999999999968,13.829999999999968,8.0,0.0,8.0,11.0,12.9,0.0,0.0,0.0,10.030000000000001,10.030000000000001,0.0,4.72,-4.72,10.03,8.85
7,7,09:30,09:45,09:45,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,-0.0,12.084210526315927,0,-12.084210526315927,242.6094182825485,239.4293628808864,0.0,0.0,1.0,4.0842105263159265,0.0,4.0842105263159265,13.829999999999968,14.8,8.0,0.0,8.0,12.9,14.8,0.0,4.72,-4.72,10.030000000000001,8.850000000000001,0.0,4.77,-4.77,8.85,7.6575
8,8,09:45,10:00,10:00,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,-0.0,0.0,0,-0.0,239.4293628808864,239.4293628808864,1.0,1.0,0.0,0.0,4.72,-4.72,14.8,13.620000000000001,0.0,4.72,-4.72,14.8,13.620000000000001,0.0,4.77,-4.77,8.850000000000001,7.6575000000000015,0.0,3.18,-3.18,7.6575,6.8625
9,9,10:00,10:15,10:15,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,3.103865252180475,0.0,0,3.103865252180475,239.4293628808864,240.16653087827927,0.0,0.0,1.0,0.0,4.77,-4.77,13.620000000000001,12.427500000000002,0.0,4.77,-4.77,13.620000000000001,12.427500000000002,0.0,4.77,-4.77,7.6575000000000015,6.465000000000002,0.0,0.0,0.0,6.8625,6.8625
10,10,10:15,10:30,10:30,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,3.103865252180475,0.0,0,3.103865252180475,240.16653087827927,240.9036988756721,0.0,0.0,1.0,0.0,0.0,0.0,12.427500000000002,12.427499999999998,0.0,4.77,-4.77,12.427500000000002,11.235000000000003,0.0,4.77,-4.77,6.465000000000002,5.272500000000002,0.0,3.18,-3.18,6.8625,6.0675
11,11,10:30,10:45,10:45,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,3.103865252180475,0.0,0,3.103865252180475,240.9036988756721,241.64086687306497,0.0,0.0,1.0,0.0,3.18,-3.18,12.427499999999998,11.632499999999999,0.0,3.18,-3.18,11.235000000000003,10.440000000000003,0.0,0.0,0.0,5.272500000000002,5.272500000000003,0.0,3.18,-3.18,6.0675,5.2725
