Time_Period,Time_Label,MCS_1_SOE_kWh,MCS_1_Max_SOE_kWh,MCS_1_Min_SOE_kWh,MCS_2_SOE_kWh,MCS_2_Max_SOE_kWh,MCS_2_Min_SOE_kWh
1,08:00,250.0,250.0,50.0,250.0,250.0,50.0
2,08:15,250.0,250.0,50.0,250.0,250.0,50.0
3,08:30,250.0,250.0,50.0,250.0,250.0,50.0
4,08:45,250.0,250.0,50.0,250.0,250.0,50.0
5,09:00,250.0,250.0,50.0,250.0,250.0,50.0
6,09:15,250.0,250.0,50.0,250.0,250.0,50.0
7,09:30,250.0,250.0,50.0,250.0,250.0,50.0
8,09:45,250.0,250.0,50.0,250.0,250.0,50.0
9,10:00,250.0,250.0,50.0,250.0,250.0,50.0
10,10:15,250.0,250.0,50.0,250.0,250.0,50.0
11,10:30,250.0,250.0,50.0,250.0,250.0,50.0
12,10:45,250.0,250.0,50.0,250.0,250.0,50.0
13,11:00,250.0,250.0,50.0,250.0,250.0,50.0
14,11:15,250.0,250.0,50.0,247.89473684210526,250.0,50.0
15,11:30,245.78947368421052,250.0,50.0,245.78947368421052,250.0,50.0
16,11:45,243.68421052631578,250.0,50.0,243.68421052631578,250.0,50.0
17,12:00,241.54847645429362,250.0,50.0,241.57894736842104,250.0,50.0
18,12:15,239.41274238227146,250.0,50.0,237.36842105263156,250.0,50.0
19,12:30,235.202216066482,250.0,50.0,234.35180055401662,250.0,50.0
20,12:45,230.99168975069253,250.0,50.0,232.24653739612188,250.0,50.0
21,13:00,228.8864265927978,250.0,50.0,230.14127423822714,250.0,50.0
22,13:15,228.8864265927978,250.0,50.0,228.0360110803324,250.0,50.0
23,13:30,236.3083015927978,250.0,50.0,225.93074792243766,250.0,50.0
24,13:45,243.7301765927978,250.0,50.0,225.81728531855956,250.0,50.0
25,14:00,243.7301765927978,250.0,50.0,225.81728531855956,250.0,50.0
26,14:15,250.0,250.0,50.0,233.23916031855956,250.0,50.0
27,14:30,250.0,250.0,50.0,236.03724722991691,250.0,50.0
28,14:45,250.0,250.0,50.0,243.45912222991691,250.0,50.0
29,15:00,250.0,250.0,50.0,243.45912222991691,250.0,50.0
30,15:15,250.0,250.0,50.0,243.45912222991691,250.0,50.0
31,15:30,250.0,250.0,50.0,243.45912222991691,250.0,50.0
32,15:45,250.0,250.0,50.0,243.45912222991691,250.0,50.0
33,16:00,250.0,250.0,50.0,243.45912222991691,250.0,50.0
34,16:15,250.0,250.0,50.0,242.57812500000003,250.0,50.0
35,16:30,250.0,250.0,50.0,242.57812500000003,250.0,50.0
36,16:45,250.0,250.0,50.0,242.57812500000003,250.0,50.0
37,17:00,250.0,250.0,50.0,242.57812500000003,250.0,50.0
38,17:15,250.0,250.0,50.0,242.57812500000003,250.0,50.0
39,17:30,250.0,250.0,50.0,242.57812500000003,250.0,50.0
40,17:45,250.0,250.0,50.0,242.57812500000003,250.0,50.0
41,18:00,250.0,250.0,50.0,242.57812500000003,250.0,50.0
42,18:15,250.0,250.0,50.0,242.57812500000003,250.0,50.0
43,18:30,250.0,250.0,50.0,242.578125,250.0,50.0
44,18:45,250.0,250.0,50.0,242.578125,250.0,50.0
45,19:00,250.0,250.0,50.0,242.578125,250.0,50.0
46,19:15,250.0,250.0,50.0,250.0,250.0,50.0
47,19:30,250.0,250.0,50.0,250.0,250.0,50.0
48,19:45,250.0,250.0,50.0,250.0,250.0,50.0
49,20:00,250.0,250.0,50.0,250.0,250.0,50.0
50,20:15,250.0,250.0,50.0,250.0,250.0,50.0
51,20:30,250.0,250.0,50.0,250.0,250.0,50.0
