Time_Interval,Time_Period,Start_Time_Label,End_Time_Label,Time_Label,MCS_1_Charging_kW,MCS_1_Discharging_kW,MCS_1_Traveling_kW,MCS_1_NetPower_kW,MCS_1_SOE_Start_kWh,MCS_1_SOE_End_kWh,MCS_1_sum_x,MCS_1_sum_y_trv,MCS_1_sum_z,MCS_2_Charging_kW,MCS_2_Discharging_kW,MCS_2_Traveling_kW,MCS_2_NetPower_kW,MCS_2_SOE_Start_kWh,MCS_2_SOE_End_kWh,MCS_2_sum_x,MCS_2_sum_y_trv,MCS_2_sum_z,CEV_1_Charging_kW,CEV_1_Working_kW,CEV_1_NetPower_kW,CEV_1_SOE_Start_kWh,CEV_1_SOE_End_kWh,CEV_2_Charging_kW,CEV_2_Working_kW,CEV_2_NetPower_kW,CEV_2_SOE_Start_kWh,CEV_2_SOE_End_kWh,CEV_3_Charging_kW,CEV_3_Working_kW,CEV_3_NetPower_kW,CEV_3_SOE_Start_kWh,CEV_3_SOE_End_kWh,CEV_4_Charging_kW,CEV_4_Working_kW,CEV_4_NetPower_kW,CEV_4_SOE_Start_kWh,CEV_4_SOE_End_kWh
1,1,08:00,08:15,08:15,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,1.0,1.0,0.0,0.0,4.7700000000000005,-4.7700000000000005,14.8,13.6075,0.0,4.7700000000000005,-4.7700000000000005,14.8,13.6075,0.0,3.18,-3.18,14.8,14.005,0.0,4.7700000000000005,-4.7700000000000005,14.8,13.6075
2,2,08:15,08:30,08:30,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,13.6075,12.415,0.0,4.77,-4.77,13.6075,12.415000000000001,0.0,4.77,-4.77,14.005,12.8125,0.0,4.77,-4.77,13.6075,12.415
3,3,08:30,08:45,08:45,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,12.415,11.2225,0.0,3.18,-3.18,12.415000000000001,11.620000000000001,0.0,4.77,-4.77,12.8125,11.620000000000001,0.0,3.18,-3.18,12.415,11.62
4,4,08:45,09:00,09:00,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.77,-4.77,11.2225,10.030000000000001,0.0,4.77,-4.77,11.620000000000001,10.4275,0.0,4.77,-4.77,11.620000000000001,10.427500000000002,0.0,4.77,-4.77,11.62,10.427499999999998
5,5,09:00,09:15,09:15,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0.0,10.030000000000001,10.030000000000001,0.0,0.0,0.0,10.4275,10.4275,0.0,0.0,0.0,10.427500000000002,10.4275,0.0,0.0,0.0,10.427499999999998,10.427499999999998
6,6,09:15,09:30,09:30,0.0,0.0,0,0.0,250.0,250.0,1.0,1.0,0.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.72,-4.72,10.030000000000001,8.850000000000001,0.0,4.72,-4.72,10.4275,9.2475,0.0,4.72,-4.72,10.4275,9.2475,0.0,4.72,-4.72,10.427499999999998,9.247499999999999
7,7,09:30,09:45,09:45,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,3.18,-3.18,8.850000000000001,8.055000000000001,0.0,4.77,-4.77,9.2475,8.055000000000016,0.0,3.18,-3.18,9.2475,8.4525,0.0,3.18,-3.18,9.247499999999999,8.452499999999999
8,8,09:45,10:00,10:00,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,3.18,-3.18,8.055000000000001,7.260000000000002,0.0,4.77,-4.77,8.055000000000016,6.862500000000016,0.0,3.18,-3.18,8.4525,7.657499999999999,0.0,3.18,-3.18,8.452499999999999,7.6575
9,9,10:00,10:15,10:15,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,3.18,-3.18,7.260000000000002,6.465000000000002,0.0,4.77,-4.77,6.862500000000016,5.670000000000016,0.0,4.77,-4.77,7.657499999999999,6.465,0.0,4.77,-4.77,7.6575,6.465
10,10,10:15,10:30,10:30,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0.0,6.465000000000002,6.465000000000002,0.0,0.0,0.0,5.670000000000016,5.670000000000016,0.0,0.0,0.0,6.465,6.465,0.0,0.0,0.0,6.465,6.465
11,11,10:30,10:45,10:45,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,3.18,-3.18,6.465000000000002,5.670000000000002,0.0,4.77,-4.77,5.670000000000016,4.477500000000017,0.0,4.77,-4.77,6.465,5.2725,0.0,4.77,-4.77,6.465,5.2725
12,12,10:45,11:00,11:00,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,4.72,-4.72,5.670000000000002,4.490000000000002,0.0,0.0,0.0,4.477500000000017,4.477500000000017,0.0,0.0,0.0,5.2725,5.2725,0.0,0.0,0.0,5.2725,5.2725
13,13,11:00,11:15,11:15,0.0,0.0,0,0.0,250.0,250.0,0.0,0.0,1.0,0.0,8.0,0,-8.0,250.0,247.89473684210526,0.0,0.0,1.0,0.0,4.77,-4.77,4.490000000000002,3.297500000000002,8.0,0.0,8.0,4.477500000000017,6.377500000000016,0.0,0.0,0.0,5.2725,5.2725,0.0,0.0,0.0,5.2725,5.2725
14,14,11:15,11:30,11:30,0.0,16.0,0,-16.0,250.0,245.78947368421052,0.0,0.0,1.0,0.0,8.0,0,-8.0,247.89473684210526,245.78947368421052,0.0,0.0,1.0,0.0,0.0,0.0,3.297500000000002,3.297500000000002,8.0,0.0,8.0,6.377500000000016,8.277500000000016,8.0,0.0,8.0,5.2725,7.172499999999999,8.0,0.0,8.0,5.2725,7.172499999999999
15,15,11:30,11:45,11:45,0.0,8.0,0,-8.0,245.78947368421052,243.68421052631578,0.0,0.0,1.0,0.0,8.0,0,-8.0,245.78947368421052,243.68421052631578,0.0,0.0,1.0,0.0,0.0,0.0,3.297500000000002,3.297500000000002,8.0,0.0,8.0,8.277500000000016,10.177500000000016,8.0,0.0,8.0,7.172499999999999,9.0725,0.0,0.0,0.0,7.172499999999999,7.172499999999999
16,16,11:45,12:00,12:00,0.0,8.11578947368421,0,-8.11578947368421,243.68421052631578,241.54847645429362,0.0,0.0,1.0,0.0,8.0,0,-8.0,243.68421052631578,241.57894736842104,0.0,0.0,1.0,0.0,0.0,0.0,3.297500000000002,3.2975000000000017,8.0,0.0,8.0,10.177500000000016,12.077500000000017,8.0,0.0,8.0,9.0725,10.9725,0.11578947368420993,0.0,0.11578947368420993,7.172499999999999,7.199999999999999
17,17,12:00,12:15,12:15,0.0,8.115789473684211,0,-8.115789473684211,241.54847645429362,239.41274238227146,0.0,0.0,1.0,0.0,16.0,0,-16.0,241.57894736842104,237.36842105263156,0.0,0.0,1.0,8.0,0.0,8.0,3.2975000000000017,5.197500000000002,8.0,0.0,8.0,12.077500000000017,13.977500000000017,0.1157894736842118,0.0,0.1157894736842118,10.9725,11.0,8.0,0.0,8.0,7.199999999999999,9.1
18,18,12:15,12:30,12:30,0.0,16.0,0,-16.0,239.41274238227146,235.202216066482,0.0,0.0,1.0,0.0,11.46315789473677,0,-11.46315789473677,237.36842105263156,234.35180055401662,0.0,0.0,1.0,8.0,0.0,8.0,5.197500000000002,7.097500000000002,3.4631578947367703,0.0,3.4631578947367703,13.977500000000017,14.8,8.0,0.0,8.0,11.0,12.9,8.0,0.0,8.0,9.1,11.0
19,19,12:30,12:45,12:45,0.0,16.0,0,-16.0,235.202216066482,230.99168975069253,0.0,0.0,1.0,0.0,8.0,0,-8.0,234.35180055401662,232.24653739612188,0.0,0.0,1.0,8.0,0.0,8.0,7.097500000000002,8.997500000000002,0.0,0.0,0.0,14.8,14.8,8.0,0.0,8.0,12.9,14.8,8.0,0.0,8.0,11.0,12.9
