src,nodes,in_queue,leaves,explored_pct,best_bound,best_sol,gap_pct,cuts,in_lp,confl,lp_iters,time_s
,0,0,0,0.0,0.0,Inf,Inf,0,0,0,0,2.5
,0,0,0,0.0,363.2341134,Inf,Inf,0,0,4,4086,3.8
,0,0,0,0.0,367.4164147,Inf,Inf,3639,121,288,6057,9.0
,0,0,0,0.0,372.7443655,Inf,Inf,5386,221,308,8702,14.5
,0,0,0,0.0,373.5109005,Inf,Inf,5761,178,343,9902,19.9
,0,0,0,0.0,373.5956414,Inf,Inf,5910,188,360,10483,25.0
L,0,0,0,0.0,373.5956414,2206.268344,83.07,5910,188,360,53592,103.9
,0,0,0,0.0,373.6030015,2206.268344,83.07,73,0,0,71182,105.5
,0,0,0,0.0,373.6045308,2206.268344,83.07,73,53,3,73101,106.3
,0,0,0,0.0,373.6443705,2206.268344,83.06,586,106,3,73427,111.7
,11,0,1,0.1,373.6468925,2206.268344,83.06,852,67,21,186957,215.5
,48,0,12,0.1,373.6468925,2206.268344,83.06,853,67,156,194250,220.9
,92,2,27,0.15,373.6468925,2206.268344,83.06,855,67,275,202318,227.4
,142,32,31,0.15,373.6468925,2206.268344,83.06,877,83,313,215007,237.1
,196,42,47,0.15,373.6468925,2206.268344,83.06,880,83,496,220067,242.1
,214,84,54,0.54,373.6808498,2206.268344,83.06,2532,166,554,253712,280.4
,250,84,64,0.54,373.6808498,2206.268344,83.06,2536,166,631,258189,285.6
,293,86,76,0.54,373.6808498,2206.268344,83.06,2537,166,813,262430,290.7
,327,125,83,0.54,373.6808498,2206.268344,83.06,2926,223,866,271860,300.0
,357,125,92,0.54,373.6808498,2206.268344,83.06,2931,223,944,279351,308.0
,403,128,100,0.54,373.6808498,2206.268344,83.06,2936,223,978,284526,314.3
L,421,183,104,0.54,373.6808498,1684.509434,77.82,3351,141,1015,286891,359.0
,437,184,106,0.55,373.6808498,1684.509434,77.82,3352,141,1032,316054,364.1
,489,186,115,0.55,373.6808498,1684.509434,77.82,3354,141,1083,320535,369.8
,529,237,127,0.65,373.6808498,1684.509434,77.82,3459,147,1174,352185,441.3
,574,241,136,1.06,373.6808498,1684.509434,77.82,3465,147,1227,360477,446.5
,635,266,159,1.15,373.6808498,1684.509434,77.82,3946,96,1440,365732,451.5
,710,273,178,1.16,373.6808498,1684.509434,77.82,3948,96,1592,372289,456.5
L,725,301,185,1.16,373.6808498,1623.509434,76.98,5773,150,1635,373919,472.8
,771,303,198,1.27,373.6808498,1623.509434,76.98,5777,150,1885,400097,477.9
,835,316,220,1.28,373.6808498,1623.509434,76.98,7030,162,2024,411826,485.1
,909,318,244,1.28,373.6808498,1623.509434,76.98,7031,162,2271,419835,490.1
,936,349,252,1.29,373.6808498,1623.509434,76.98,7125,182,2361,460287,533.8
,978,354,264,1.29,373.6808498,1623.509434,76.98,7134,182,2499,465147,538.9
,1008,355,279,1.29,373.6808498,1623.509434,76.98,7148,182,2799,469552,543.9
,1022,356,284,1.29,373.6808498,1623.509434,76.98,7164,182,3033,474226,549.7
